KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
CP043,"Keripik tempe abadi
sedang",KZGPI- 1990,4.4,510,12.3,27.9,52.4,3.6,3.1,122,211,8.4,,,,,,,0,0.52,,,0,100
CP044,"Keripik tempe abadi
telur",KZGPI- 1990,4.5,529,20.8,31.7,40.2,3,2.9,124,222,5.4,,,,,,,0,0.86,,,0,100
CP045,"Kerupik tempe abadi
prima",KZGPI- 1990,4.8,540,16.7,33.9,42,2.2,2.6,92,184,3.2,,,,,,,1080,0.38,,,0,100
CP046,Kwaci,DABM-1964,9.9,515,30.6,42.1,13.8,13.6,3.7,54,312,6.2,124,448.6,0.65,9.7,0,,,0.02,0.19,0.3,0,35
CP047,"Melinjo emping tebal
goreng manis",KZGPI- 1990,5.6,439,10,16.4,65.7,,2.3,66,225,,,,,,,,0,0.1,,,0,100
CP048,"Melinjo emping tebal,
goreng asin",KZGPI- 1990,8,431,11.1,16.2,63,,1.6,77,,,,,,,,,0,0.08,,,0,100
CP049,"Melinjo emping tipis
goreng",KZGPI- 1990,3.3,485,11.5,24.5,59.1,,1.5,85,218,,,,,,,,0,0.11,,,0,100
CP050,Moon tahu,KZGMS-1993,79.9,128,8,10,1.3,0.2,0.8,205,92,2.5,393,,,,131,,5300,0.46,,,0,100
CP051,Oncom,DABM-1964,57,187,13,6,22.6,,1.4,96,115,27,,,,,0,,,0.09,0,1.6,0,100
CP052,"Oncom ampas kacang
hijau",KZGPI- 1990,13.4,376,14.9,6,65.7,12.3,1.7,199,110,10.9,,,,,,,,0.03,,,,100
CP053,"Oncom kacang hijau +
singkong",KZGPI- 1990,16.5,351,11,5.3,65.9,9,1.3,164,113,7.8,,,,,,,,0.01,,,,100
CP054,"Oncom kacang tanah
pepes",KZGPI- 1990,65,132,12.7,3.8,13.7,3.1,4.8,133,355,34.4,,,,,,,10,0.08,0.2,0.7,0,100
CP055,"Rempeyek kacang
tanah",KZGPI- 1990,3.9,513,17.5,32.5,44.3,1.7,1.8,65,202,2.6,,,,,,,0,0.1,,,0,100
CP056,Rempeyek kacang tolo,KZGPI- 1990,6.1,451,11.2,20.2,59.7,1.8,2.8,156,221,4.6,,,,,,,0,0.02,,,0,100
CP057,Rempeyek kacang uci,KZGPI- 1990,4,497,17,27.6,50.8,2.4,3.4,166,89,6.7,,,,,,,0,0.05,,,0,100
CP058,Sayur lebui,KZGMI-2001,83.9,64,2.1,0.6,12.5,5.7,0.9,21,2,1,124,146,0.2,0.7,,14,,,0,0.1,,100
CP059,"Saridele, bubuk",DABM-1964,3,344,30,20,43,6.2,4,450,500,4,56,2572.3,2.99,4,,0,2000,0.7,0.16,2,10,100
CP060,Susu kedelai,DABM-1964,87,41,3.5,2.5,5,0.2,2,50,45,0.7,128,287.9,0.12,1,,,200,0.08,0.05,0.7,2,100
CP061,"Tahu, mentah",KZGPI- 1990,82.2,80,10.9,4.7,0.8,0.1,1.4,223,183,3.4,2,50.6,0.19,0.8,,118,,0.01,0.08,0.1,,100
CP062,Tahu goreng,KZGPI- 1990,77.3,115,9.7,8.5,2.5,0.1,2,229,200,4.1,7,68.2,0.09,1.3,,0,0,0.01,0.24,0,0,100
CP063,Tahu telur,"KZGMS-
1993",41.8,328,12.6,19.9,24.6,0.4,1.1,492,238,4.9,755,,,,73,,1860,0.42,,,0,100
CP064,Takwa,KZGPI- 1990,72.2,148,13.8,8.5,4,0,1.6,140,214,8.5,3,79,0.3,1.3,,,920,0.2,0.1,0.8,,100
CP065,Tauco,KZGPI- 1990,54,184,11.4,5.5,22.2,1.9,6.9,72,463,6,1766,233,0.39,1,,0,664,0.32,0.2,0.8,0,100
CP066,"Tauco cap beruang,
cake",KZGPI- 1990,11.4,347,7.4,5.2,67.6,3.2,8.4,63,106,6.2,,,,,,,936,0.35,,,0,100
CP067,"Tauco cap DAS, cake",KZGPI- 1990,10.2,358,7.5,4.3,70.4,3.1,7.6,94,94,4.5,,,,,,,504,0.29,,,0,100
CP068,Tauco cap meong,KZGPI- 1990,59.7,159,7.4,4.9,21.3,1.6,6.7,183,84,10.1,1547,204.1,0.34,0.9,,0,472,0.46,0.18,0.7,0,100
CP069,Tauji cap singa,KZGPI- 1990,30.4,277,9.1,4.7,49.6,1.2,6.2,68,106,3,,,,,,,936,0.15,,,0,100
CP070,Tempe bongkrek,DABM-1964,72.5,119,4.4,3.5,18.3,,"146
.3",27,100,2.6,,,,,0,,,0.08,,,0,100
CP071,Tempe gembus P3G,KZGPI- 1990,81.9,73,5.7,1.3,10.3,4.2,0.8,204,80,1.5,,,,,,,22,0.09,0.1,0.9,,100
CP072,Tempe gembus yogya,KZGPI- 1990,80.7,76,6.8,0.7,10.6,5.3,1.1,76,142,16.5,,,,,,,,0.79,0.01,0.1,,100
CP073,Tempe kacang babi,KZGPI- 1990,64,139,12.5,0.8,21.9,1.8,1.2,68,182,2.6,,,,,,,20,0.1,,,,100
CP074,"Tempe kacang
belimbing",KZGPI- 1990,58.2,212,17.5,10,12.9,2.9,1.4,186,160,2.2,,,,,,,,0.2,,,,100
CP075,"Tempe kedelai +
jagung",KZGPI- 1990,70.6,143,12,5.5,11.4,1.9,0.6,155,156,6.8,,,,,,,1320,0.33,0.15,1.2,,100
CP076,"Tempe kedelai murni,
goreng",KZGPI- 1990,36.8,350,24.5,26.6,10.4,4.2,1.8,202,296,4.9,22,626.7,0.8,2.5,,,78,0.24,0.6,3.3,0,100
CP077,"Tempe kedelai murni,
mentah",KZGPI- 1990,55.3,201,20.8,8.8,13.5,1.4,1.6,155,326,4,9,234,0.57,1.7,,0,,0.19,0.59,4.9,,100
CP078,Tempe koro benguk,DABM-1964,64,141,10.2,1.3,23.2,,1.3,42,15,2.6,,,,,0,,,0.09,,,0,100
CP079,Tempe lamtoro,KZGPI- 1990,66.8,128,10.7,0.5,21.3,7.1,0.7,203,108,0.6,,,,,,,121,0.17,,,2,100
CP080,"Tempe lamtoro var,
gung dengan kulit",KZGPI- 1990,65.1,146,11.7,2.3,19.6,7.6,1.3,128,41,6.8,,,,,,,1370,0.19,,1.4,,100
CP081,"Tempe lamtoro var,
gung tanpa kulit",KZGPI- 1990,67.1,131,18,0.8,13,1.3,1.1,95,154,12.4,,,,,,,5900,0.2,0.02,2.6,,100
CP082,Tempe pasar,KZGPI- 1990,68.3,150,14,7.7,9.1,1.4,0.9,517,202,1.5,7,165.9,0.4,1.2,,0,,0.17,0.44,3.6,,100
CP083,Tempe pasar goreng,KZGPI- 1990,42.9,336,20,28,7.8,3.4,1.3,156,350,3,20,566.2,0.8,2.2,,,10,0.1,0.5,3,0,100
CP084,"Tepung hunkwe (pati
kacang ijo)",DABM-1964,10,364,4.5,1,83.5,16.1,1,50,100,1,15,1232.9,0.93,2.7,0,,,0,0.23,2.2,0,100
