,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
926,BR005,"Bengkuang, segar",DABM- 1964,umbi berpati,single,85.1,59,1.4,0.2,12.8,1,0.5,15,18,0.6,2,244.3,0.1,0.3,,0,,0.04,0.1,0.2,20,84
927,BR006,"Bentul (Komba), talas,
segar",KZGPI- 1990,umbi berpati,single,75.8,98,1.6,0.7,20.9,0.7,1.8,44,66,1.5,,195.5,0.2,0.6,0,0,0,0.02,0.1,0.8,0,86
928,BR007,"Gadeng/Gadung,
kering",KZGMI-2001,umbi berpati,single,20.2,322,2.4,0.6,76.6,,0.2,39,22,2.2,5,2,0.5,0.2,0,0,0,0.45,0.02,1,0,100
929,BR008,"Gadung, ubi, segar",KZGPI- 1990,umbi berpati,single,74.4,100,0.9,0.3,23.5,2.1,0.9,79,66,0.9,8,687.2,0.2,0.2,0,0,0,0.23,0,0.5,2,85
930,BR009,"Ganyong, segar",KZGPI- 1990,umbi berpati,single,79.9,77,0.6,0.2,18.4,0.8,0.9,15,67,1,,,,,0,0,0,0.1,,,9,65
931,BR010,"Gembili, ubi, segar",KZGPI- 1990,umbi berpati,single,66.4,131,1.1,0.2,31.3,1.1,1,14,56,0.6,10,200,0.2,0.3,0,0,0,0.08,0,0.9,4,85
932,BR011,"Hofa/Ubi hutan, segar",KZGMI-2001,umbi berpati,single,67.9,127,1.2,0.5,29.5,3.4,0.9,30,8,0.7,3,4,0.1,0.2,0,0,0,0.3,0.05,0.6,0,85
933,BR012,"Kaburan, ubi, segar",KZGPI- 1990,umbi berpati,single,66.5,133,1,0.2,32.2,0.7,0.5,65,50,0.6,10,899.2,0.2,0.2,0,0,0,0.01,0,0.3,0,81
934,BR013,"Kentang, segar",KZGPI- 1990,umbi berpati,single,83.4,62,2.1,0.2,13.5,0.5,0.8,63,58,0.7,7,396,0.4,0.3,0,0,0,0.09,0.1,1,21,85
935,BR014,"Kentang hitam, segar",DABM- 1964,umbi berpati,single,64,142,0.9,0.4,33.7,5.4,1,34,75,0.2,22,890.3,0.9,0.6,,0,,0.02,0.1,2.2,38,75
936,BR015,"Keribang, ubi, segar",KZGPI- 1990,umbi berpati,single,67,137,1.3,1.1,29.8,0.6,0.8,45,56,0.8,10,885.8,0.2,0.3,0,0,0,0,0,0.7,0,83
937,BR016,"Ketela pohon/
singkong, segar",KZGPI- 1990,umbi berpati,single,61.4,154,1,0.3,36.8,0.9,0.5,77,24,1.1,2,394,0.3,0.4,0,0,0,0.06,0.1,0.5,31,85
938,BR017,Lepok/Ubi rumput,KZGMI-2001,umbi berpati,single,55.3,181,2.8,1.2,39.8,10.7,0.9,7,50,3.1,116,306,1.6,0.9,0,0,0,0.28,0.05,1.5,0,85
939,BR018,"Sagu aren, kering",KZGPI- 1990,umbi berpati,single,11.9,355,0.6,1.1,85.6,0.3,0.8,91,167,2.2,2,200,0,0.3,,,0,0.04,0.1,0.5,0,100
940,BR019,"Sagu aren, segar",KZGMI-2001,umbi berpati,single,42.5,231,0.6,0.2,56.6,3.2,0.1,20,20,0.1,7,0,0.1,0.1,0,,0,0.2,0,0,0,100
941,BR020,Sagu kasbi segar,KZGMI-2001,umbi berpati,single,42.5,230,0.6,0.2,56.5,3,0.2,20,1,0.3,100,410,0.1,0.2,0,0,0,0.1,0,0,0,100
942,BR021,Sagu lempeng,KZGMI-2001,umbi berpati,single,13.5,347,0.9,0.3,85.2,4.7,0.1,30,30,0.2,11,0,0.1,0.1,0,0,,0.3,0,0,0,100
943,BR022,"Sagu singkong, kering",DABM- 1964,umbi berpati,single,12,362,0.5,0.3,86.9,,0.3,0,0,0,,,,,,0,0,0,,,0,100
944,BR023,"Sente, talas, segar",DABM- 1964,umbi berpati,single,14,353,0.7,0.2,84.7,6.6,0.4,11,13,1.5,30,694.6,0.6,2.2,,41,,0.05,0.2,2.8,5,86
945,BR024,"Suweg, talas, segar",KZGPI- 1990,umbi berpati,single,80.1,74,1.4,0.1,17.2,1.4,1.2,42,46,1.3,7,400,0.1,0.1,0,24,254,0.04,0,0.4,2,86
946,BR025,"Talas bogor, segar",KZGPI- 1990,umbi berpati,single,72.4,108,1.4,0.4,25,0.9,0.8,47,67,0.7,10,448,0.2,0.7,0,0,0,0.06,0.07,1,4,85
947,BR026,"Talas pontianak, segar",KZGPI- 1990,umbi berpati,single,60,163,2.3,0.5,36.4,0.7,0.9,45,80,1.7,14,323.1,0.3,1,0,0,0,0.02,0.1,1.3,,83
948,BR027,"Talas viqueque, segar",KZGMI-2001,umbi berpati,single,70.6,115,1.8,0.5,25.9,8.6,1.2,50,220,0.9,1,70,0.3,1,0,0,0,0.08,0.1,0.9,,85
949,BR028,"Ubi jalar, kuning, segar",KZGMI-2001,umbi berpati,single,72.6,119,0.5,0.4,25.1,4.2,1,30,40,0.4,3,1,0.1,0.2,0,794,4948,0.06,0.07,0.7,21,85
950,BR029,"Ubi jalar manis, segar",KZGPI- 1990,umbi berpati,single,78.4,83,1.5,0.2,18.8,0.6,1.1,27,162,2.1,52,320.7,0.1,0.3,0,0,0,0.02,0,0.4,0,85
951,BR030,"Ubi jalar merah, segar",KZGPI- 1990,umbi berpati,single,61.9,151,1.6,0.3,35.4,0.7,0.6,29,74,0.7,92,565.6,0.3,0.5,0,0,1208,0.13,0.08,0.7,11,86
952,BR031,"Ubi jalar putih, segar",KZGMI-2001,umbi berpati,single,77.8,88,0.4,0.4,20.6,4,0.8,30,10,0.5,2,4,0.1,0.2,0,13,264,0.25,0.06,0.5,36,86
953,BR032,"Ubi jalar tinta/
kemayung",KZGMI-2001,umbi berpati,single,72.5,108,0.5,0.4,25.6,4.2,1,30,40,0.5,1,1,0.1,0.2,0,13,0,0.09,0.06,0.6,24,85
954,BR033,"Umbi Uwi, segar",BKP,umbi berpati,single,69.7,120,2.8,0.5,82.3,2.6,0.9,9,42,1.3,12,412,0.3,0.6,,0,0,0.02,0.5,0.2,4,86
955,OLAHAN/PRODUK/KOMPOSIT,,,umbi berpati,processed food,,,,,,,,,,,,,,,,,,,,,,
956,BP001,"Batatas kelapa, ubi,
bakar",KZGMI-2001,umbi berpati,processed food,73.2,110,1.4,1.1,23.4,4.5,0.7,1,46,0.2,12,230,0.2,0.3,0,0,0,1.13,0,0,0,85
957,BP002,"Batatas kelapa, ubi,
kukus",KZGMI-2001,umbi berpati,processed food,75.7,92,1.2,0.3,21,4.1,1.8,0,42,0.2,10,209,0.2,0.3,0,0,0,0.28,0,0.7,0,100
958,BP003,"Batatas tali, ubi, rebus",KZGMI-2001,umbi berpati,processed food,53.2,182,2.4,0.4,42.2,9.2,1.8,1,80,0.3,20,402,0.3,0.6,0,0,0,0.27,0,1.3,0,100
959,BP004,"Belitung, talas, kukus",KZGPI- 1990,umbi berpati,processed food,63.1,145,1.2,0.4,34.2,1,1.1,21,48,0.9,7,552.6,0.2,0.9,0,0,0,0.08,0.1,2.3,1,100
960,BP005,"Bentul, talas, kukus",KZGPI- 1990,umbi berpati,processed food,81.1,71,2.3,0.3,15.4,0.5,0.9,29,26,0.6,,201,0.2,0.6,0,0,0,0.06,0,0,21,100
961,BP006,"Gadung, ubi, kukus",KZGPI- 1990,umbi berpati,processed food,77.4,88,0.6,0.3,20.9,0.9,0.8,26,47,0.4,6,584,0.2,0.2,0,0,0,0.03,0,0.4,0,100
962,BP007,"Ganyong, rebus",KZGPI- 1990,umbi berpati,processed food,74.1,100,0.8,0.2,23.8,0.9,1.1,15,65,0.9,,,,,0,0,0,0.04,,,6,100
963,BP008,"Ketela pohon/
singkong kukus",KZGPI- 1990,umbi berpati,processed food,61.5,153,1.2,0.3,36.4,1.3,0.6,56,22,0.4,2,345.3,0.3,0.1,0,0,0,0,0,0.3,20,100
964,BP009,"Suweg, talas, kukus",KZGPI- 1990,umbi berpati,processed food,75.5,93,1.5,0.1,21.9,0.9,1,50,58,0.8,6,350.3,0.1,0.1,0,0,283,0.09,0,0.3,0,100
965,BP010,"Talas bogor, kukus",KZGPI- 1990,umbi berpati,processed food,69.2,120,1.5,0.3,28.2,0.7,0.8,31,63,0.7,11,498,0.2,0.6,0,0,0,0.05,0.6,0.8,2,100
966,BP011,"Ubi jalar, kuning,
kukus",KZGPI- 1990,umbi berpati,processed food,74.2,100,0.7,0.3,23.8,1,1,44,46,0.4,3,0.8,0.1,0.2,0,819,4427,0,0.1,0.6,16,100
967,BP012,"Ubi jalar tinta/
kemayung kukus",KZGPI- 1990,umbi berpati,processed food,58.5,165,0.9,0.2,39.8,1.1,0.6,20,23,0.8,1,0.9,0.1,0.2,0,0,0,0.02,0.1,0.5,0,100
968,BP013,Bagea kelapa asin,KZGMI-2001,umbi berpati,processed food,3.5,450,3.2,13.9,78.1,,1.3,38,38,0.3,74,0,0.2,0.2,0,0,0,0.3,0,0,0,100
969,BP014,Bagea kelapa manis,KZGMI-2001,umbi berpati,processed food,3,452,1.3,13.8,80.6,,1.3,38,39,0.3,75,0,0.2,0.2,0,0,0.3,0,0,0,0,100
970,BP015,Bagea kenari asin,KZGMI-2001,umbi berpati,processed food,2.8,529,3.2,29.1,63.6,,1.3,38,40,0.4,74,0,0.2,0.2,0,0,0,0.3,0,0,0,100
971,BP016,Bagea kenari manis,KZGMI-2001,umbi berpati,processed food,3.1,523,3.2,28.2,64.2,,1.3,38,39,0.3,74,0,0.2,0.2,0,0,0,0.3,0,0,0,100
972,BP017,Bagea kw 1,KZGPI- 1990,umbi berpati,processed food,7.2,416,6.5,9.4,76.3,0.4,0.6,49,77,4.9,,,,,13,,312,0.08,,2.6,0,100
973,BP018,Bagea kw 2,KZGPI- 1990,umbi berpati,processed food,7.9,382,0.3,3.5,87.2,0.9,1.1,172,120,7.6,,,,,0,0,0,0.02,,,0,100
977,BP022,Biji nangka/Biji salak,KZGMI-2001,camilan,processed food,40.5,262,2.3,5.4,51.1,8,0.7,60,80,0.8,10,2,0.6,2,0,1667,,0.1,1,,10,100
978,BP023,Bubur sagu,KZGMI-2001,umbi berpati,processed food,62.5,167,0.2,4,33,,0.3,3,3,0.1,7,0,0.1,0.1,0,0,0,9,,0.1,0,100
979,BP024,Cassavastick,KZGPI- 1990,camilan,processed food,5.6,460,0.8,18.7,17.2,1.6,2.7,144,58,7.5,,,,,0,,107,0.19,0.07,0.1,0,100
980,BP025,"Ceriping getuk
singkong",KZGPI- 1990,camilan,processed food,7.2,462,1.2,20.7,67.7,0.6,3.2,1248,172,8.8,,,,,0,,152,0.29,0.02,0.5,0,100
981,BP026,Gatot,BKP,camilan,processed food,12.8,347,1.3,0.7,83.8,5.8,1.4,78,44,17.1,28,242,0.2,0.7,,0,0,0.02,0.1,0.4,0,100
982,BP027,Geblek,BKP,camilan,processed food,52.1,195,0.4,1.7,44.4,3.6,1.4,35,13,0.6,353,125,0.3,0.3,,0,0.3,0.02,0,0.1,0,100
983,BP028,Getuk goreng,KZGPI- 1990,camilan,processed food,16.5,360,1.3,6.4,74.3,0.8,1.5,59,81,3.2,,,,,0,0,0,0.21,,0.1,0,100
984,BP029,Getuk singkong,KZGPI- 1990,camilan,processed food,49.8,204,0.5,1.4,47.4,0.8,1.1,97,52,1.5,,,,,0,,208,0.08,,0.1,0,100
985,BP030,Gurandil,KZGPI- 1990,camilan,processed food,47.5,218,0.5,2.5,48.5,3.1,1,50,25,2.8,,,,,,,0,0.19,,,0,100
986,BP031,Kabuto,KZGMI-2001,camilan,processed food,58.9,250,2.6,2.5,35.4,1.8,0.6,35,49,1.1,2,218,,,,0,0,0.1,0.1,0.6,,100
987,BP032,Kapurung,KZGMI-2001,camilan,processed food,79.6,41,2,0.3,7.8,2,0.6,34,12,0.3,185,566,0.1,0.3,0,213,,0.12,0.25,2.7,15,100
988,BP033,"Kecimpring singkong
goreng",KZGPI- 1990,camilan,processed food,3.7,464,1.2,18.6,73,1.3,3.5,82,52,3.4,,,,,,,3320,0.34,,,0,100
989,BP034,Keremes,KZGPI- 1990,camilan,processed food,6.7,475,1.6,25.2,64.4,2.1,2.1,153,88,1,,,,,0,,1000,0,,,0,100
990,BP035,Keripik gadung,KZGPI- 1990,camilan,processed food,4,446,2.8,14.5,76,1.7,2.8,147,52,1.9,,,,,0,0,0,0.95,,,0,100
991,BP036,Keripik kentang,KZGMI-2001,camilan,processed food,7.8,448,2.7,18.8,67.1,3.8,3.6,25,130,1.2,712,406,1.1,,,15,,0.1,0.05,2.8,0,100
992,BP037,Keripik singkong,KZGPI- 1990,camilan,processed food,4.2,478,0.9,20.7,72,2,2.2,189,101,1.9,,,,,0,0,0,0.24,,,0,100
993,BP038,"Keripik singkong
berbumbu",KZGPI- 1990,camilan,processed food,2.2,481,2.2,19.7,73.6,1.6,2.3,156,103,1.6,,,,,0,,80,0.31,,,0,100
994,BP039,Keripik ubi,KZGMI-2001,camilan,processed food,6,486,0.2,23.9,67.6,14.3,2.3,68,92,0.9,52,2,0.7,2.3,0,920,,0.1,0.1,0.5,0,100
995,BP040,Kerupuk cumi goreng,KZGMI-2001,camilan,processed food,3.4,444,6.9,14.6,71.3,5,3.8,47,375,1.8,837,191,0.1,0.3,,,,0.4,0.1,1.8,0,100
997,BP042,"Kerupuk kemplang
goreng",KZGPI- 1990,camilan,processed food,5.8,504,5.6,28.1,57.1,0.3,3.4,50,94,2.9,,,,,6,,280,0.31,,,0,100
998,BP043,"Kerupuk kemplang
panggang",KZGPI- 1990,camilan,processed food,9.4,356,9.7,1.1,76.9,1,3,62,129,2.9,,,,,7,,280,0.36,,,0,100
999,BP044,"Kerupuk mie kuning
goreng",KZGPI- 1990,camilan,processed food,7.2,476,0.1,21.1,71.3,4.2,0.3,57,36,4.6,,109,0.1,0.2,0,,333,0.22,0,0.9,0,100
1000,BP045,Kerupuk udang goreng,KZGMI-2001,camilan,processed food,4.4,477,4.7,20.5,68.5,5,1.9,24,188,0.9,449,109,0.1,0.2,,0,,0.2,0,0.9,0,100
1001,BP046,Kue bangket,KZGMI-2001,camilan,processed food,16.1,338,1.5,1.2,80.3,,0.9,34,35,0.3,67,0,0.2,0.2,0,0,0,0.3,0,0,,100
1002,BP047,Kue putu singkong,KZGMI-2001,camilan,processed food,44.2,217,1.2,0.5,53.2,2.4,0.9,48,68,1.5,3,305,,,,0,0,0.1,0.1,0.8,,100
1003,BP048,Lanting getuk,KZGPI- 1990,camilan,processed food,4.2,422,0.9,10.8,80.4,1.4,3.8,206,104,3.6,,,,,0,,0,0.43,,,0,100
1004,BP049,Mi golosor,KZGPI- 1990,umbi berpati,processed food,82.9,71,0.2,0.8,15.9,0.1,0.2,117,5,0.2,,,,,0,,112,0.05,0.02,0,0,100
1005,BP050,Mie Bendo,BKP,umbi berpati,processed food,11.5,353,0.3,0,88,2.4,0.2,28,14,2.8,9,49.2,0.5,0.1,,2,0,0.02,0,0.1,0,100
1006,BP051,Mie Sagu,BKP,umbi berpati,processed food,52.8,190,0.2,0.4,46.5,1.4,0.1,8,7,0.3,10,2.6,0.1,0,,2,0,0,0.4,0,0,100
1007,BP052,Ongol-ongol sagu,KZGPI- 1990,camilan,processed food,75.3,111,0.3,2.7,21.2,0.3,0.5,79,15,1.7,,,,,0,,0,0.06,,,0,100
1008,BP053,Oyek,BKP,camilan,processed food,12.6,351,0.9,0.9,84.9,4.3,0.7,60,36,2.1,5,229,0.1,0.5,,0,0,0.02,0.02,0.5,0,100
1009,BP054,Papeda,KZGMI-2001,camilan,processed food,84.8,61,0.2,0.1,14.9,0.5,0.1,3,1,0.2,4,20,0.1,0.1,0,0,0,0.06,0,0,0,100
1012,BP057,Sagu forno,KZGMI-2001,camilan,processed food,31.5,291,0.5,4,63.4,,0.6,10,20,0.8,40,50,0.1,0.2,0,0,0,,,,0,100
1013,BP058,"Sagu Lemak (Kue
Sagon)",BKP,camilan,processed food,4.3,452,2.8,14.8,76.8,1.1,0.7,15,39,1.1,182,52.7,0.04,0.8,,1220,0,0.32,0.04,0.1,0,100
1014,BP059,Sagu manis,KZGMI-2001,camilan,processed food,32.6,287,0.5,3.9,62.4,,0.6,8,17,0.7,34,42,0.1,0.2,0,0,0,,,,0,100
1015,BP060,Sagu Rendang,BKP,camilan,processed food,8.2,364,0.1,0.2,90.5,1.9,1,13,9,3.9,42,15.1,0.1,0.1,,0,0,0.02,0.6,0.8,0,100
1016,BP061,Sagu sinole,KZGMI-2001,camilan,processed food,22,354,0.8,8.3,68.9,,0.1,10,30,0.8,30,11,0.2,0.3,0,0,0,,,,0,100
1017,BP062,"Serimping talas
kebumen",KZGPI- 1990,camilan,processed food,4.8,478,2.5,21.2,69.2,1.7,2.3,112,118,2.3,,,,,0,,0,0.25,,,0,100
1018,BP063,Tapai singkong,KZGPI- 1990,camilan,processed food,57.4,169,1.4,0.3,40.2,2,0.7,21,34,0.8,,,,,0,0,0,0,,,9,100
1028,BP073,Tiwul,BKP,camilan,processed food,11.2,353,2.4,1.1,83.4,6.5,1.6,55,95,4.7,5,670,0.2,0.8,,0,0,0.02,0.02,0.1,3,100
1029,BP074,Tiwul Instan,BKP,camilan,processed food,9.1,395,3.2,8.5,76.5,4.2,2.7,81,81,5.8,377,469,2.1,1.2,,0,0,0.4,0.2,0.2,4,100
1030,BP075,Ubi Cilembu,BKP,umbi berpati,processed food,52.7,186,1.9,0.2,44.3,3.4,0.9,37,51,0.6,1,61.9,0.1,0.2,,26,0,0.02,0.2,0,0,89.6
1031,BP076,Uli batatas,KZGMI-2001,umbi berpati,processed food,66.5,150,1.1,4,27.4,,1,,23,0.1,6,112,0.1,0.2,0,0,0,0.53,0,1.3,0,100
