KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
BP051,Mie Sagu,BKP,52.8,190,0.2,0.4,46.5,1.4,0.1,8,7,0.3,10,2.6,0.1,0,,2,0,0,0.4,0,0,100
BP052,Ongol-ongol sagu,KZGPI- 1990,75.3,111,0.3,2.7,21.2,0.3,0.5,79,15,1.7,,,,,0,,0,0.06,,,0,100
BP053,Oyek,BKP,12.6,351,0.9,0.9,84.9,4.3,0.7,60,36,2.1,5,229,0.1,0.5,,0,0,0.02,0.02,0.5,0,100
BP054,Papeda,KZGMI-2001,84.8,61,0.2,0.1,14.9,0.5,0.1,3,1,0.2,4,20,0.1,0.1,0,0,0,0.06,0,0,0,100
BP055,Rasbi (Beras Ubi),BKP,11.1,394,2.2,8.8,76.6,6.8,1.3,68,76,1.6,165,388,0.4,0.4,,0,0,0.02,0.3,1.2,0,100
BP056,Rasi (Beras Singkong),BKP,12.6,350,0.9,0.4,85.7,14.4,0.5,42,21,1.5,8,14,0.3,0.5,,0,0,0.02,0.02,0.4,0,100
BP057,Sagu forno,KZGMI-2001,31.5,291,0.5,4,63.4,,0.6,10,20,0.8,40,50,0.1,0.2,0,0,0,,,,0,100
BP058,"Sagu Lemak (Kue
Sagon)",BKP,4.3,452,2.8,14.8,76.8,1.1,0.7,15,39,1.1,182,52.7,0.04,0.8,,1220,0,0.32,0.04,0.1,0,100
BP059,Sagu manis,KZGMI-2001,32.6,287,0.5,3.9,62.4,,0.6,8,17,0.7,34,42,0.1,0.2,0,0,0,,,,0,100
BP060,Sagu Rendang,BKP,8.2,364,0.1,0.2,90.5,1.9,1,13,9,3.9,42,15.1,0.1,0.1,,0,0,0.02,0.6,0.8,0,100
BP061,Sagu sinole,KZGMI-2001,22,354,0.8,8.3,68.9,,0.1,10,30,0.8,30,11,0.2,0.3,0,0,0,,,,0,100
BP062,"Serimping talas
kebumen",KZGPI- 1990,4.8,478,2.5,21.2,69.2,1.7,2.3,112,118,2.3,,,,,0,,0,0.25,,,0,100
BP063,Tapai singkong,KZGPI- 1990,57.4,169,1.4,0.3,40.2,2,0.7,21,34,0.8,,,,,0,0,0,0,,,9,100
BP064,Tepung Arrowroot,DABM- 1964,13.6,355,0.7,0.2,85.2,0.4,0.3,8,22,1.5,2,10.7,0,0.1,,20,3,0.09,0,0,0,100
BP065,Tepung Ganyong,BKP,13.6,353,0.8,1.7,83.6,0.7,0.3,4,31,3.3,3,63.5,0.1,0.3,,0,0,0.02,0,0.9,1,100
BP066,Tepung Gaplek,BKP,13,345,2.4,0.4,83.1,6.7,1.1,18,95,1.5,6,55,0.4,1.2,,1,0,0.3,0.2,0.1,0,100
BP067,"Tepung kentang,
kering",DABM- 1964,13,347,0.3,0.1,85.6,0.4,1,20,30,0.5,51,156.3,0.2,0.5,,0,0,0.04,0,0.4,0,100
BP068,Tepung Mocaf,BKP,11.9,350,1.2,0.6,85,6,1.3,60,64,15.8,8,403,0.1,0.6,,0,0,0.02,0.02,0.7,2,100
BP069,Tepung Sente,BKP,15.3,326,4,0.4,76.7,8.5,3.6,41,141,3.5,14,"1602.
0",0.4,1.4,,0,0,0.02,0.2,7.7,0,100
BP070,"Tepung singkong/
Tapioka",DABM- 1964,9.1,363,1.1,0.5,88.2,0.9,1.1,84,125,1,1,7.1,0,0.1,,0,,0.04,0,0.4,0,100
BP071,Tepung Tales Beneng,BKP,12.2,332,5.7,0.6,76.1,12.2,5.5,59,302,10.7,7,"1404.
0",0.8,6.2,,0,0,0.02,0.1,0.3,0,100
BP072,Tepung Ubi Ungu,BKP,9.4,354,2.8,0.6,84.4,12.9,2.8,89,125,3.9,42,940,0.8,0.6,,0,0,0.4,0.02,0,0,100
BP073,Tiwul,BKP,11.2,353,2.4,1.1,83.4,6.5,1.6,55,95,4.7,5,670,0.2,0.8,,0,0,0.02,0.02,0.1,3,100
BP074,Tiwul Instan,BKP,9.1,395,3.2,8.5,76.5,4.2,2.7,81,81,5.8,377,469,2.1,1.2,,0,0,0.4,0.2,0.2,4,100
BP075,Ubi Cilembu,BKP,52.7,186,1.9,0.2,44.3,3.4,0.9,37,51,0.6,1,61.9,0.1,0.2,,26,0,0.02,0.2,0,0,89.6
BP076,Uli batatas,KZGMI-2001,66.5,150,1.1,4,27.4,,1,,23,0.1,6,112,0.1,0.2,0,0,0,0.53,0,1.3,0,100
