KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
DR030,"Daun jawaw seluang,
segar",KZGMI-2001,77.2,93,5,1.3,15.3,3.9,1.2,146,103,5.3,2,434,0.5,1.5,,,,0.1,0.7,,9,
DR031,"Daun jonghe, segar",KZGPI-1990,91.4,27,2.1,0.7,4.4,2,1.4,253,192,9.5,,,,,0,,5057,0.01,,,1,45
DR032,"Daun kacang ma,
segar",KZGPI-1990,89.1,36,2.9,0.6,6.8,1.8,0.6,64,220,2.2,7,485.3,0.2,0.3,,2893,4377,0.04,0.18,1.2,4,33
DR033,"Daun kacang panjang,
segar",KZGPI-1990,89.7,30,3.1,0.3,5.8,1.7,1.1,200,66,4.5,7,458.6,0.2,0.3,0,2734,4592,0.33,0.2,1.1,30,65
DR034,"Daun kasbi/singkong
karet, segar",KZGMI-2001,80.3,92,4,3.6,10.9,5.8,1.2,140,70,1.6,70,90,0.3,1.1,,9999,,0.1,0.2,0.1,74,87
DR035,"Daun katuk, segar",KZGPI-1990,81,59,6.4,1,9.9,1.5,1.7,233,98,3.5,21,478.8,0.3,1.3,,9152,10020,0,0.31,2.3,"16
4",40
DR036,"Daun kecipir, segar",DABM-1964,85,52,5,0.5,8.5,,1,134,81,6.2,6,114,0.3,0.8,,3981,5240,0.28,0.4,2.2,29,70
DR037,"Daun kedondong,
segar",DABM-1964,81,59,3.5,0.3,13.4,10.7,1.8,540,82,6.2,12,579,,,,1624,2900,0.06,0.2,1.5,29,65
DR038,"Daun kelor, segar",KZGMI-2001,75.5,92,5.1,1.6,14.3,8.2,3.5,1077,76,6,61,298,0.1,0.6,,3266,,0.3,0.1,4.2,22,65
DR039,"Daun kemang, segar",DABM-1964,85,43,5.5,0.3,7.5,8.4,1.7,35,106,1,10,457.1,,,,1282,1017,0.06,0.1,1.2,30,65
DR040,"Daun kenikir, segar",BKP,87.6,45,3.7,0.5,6.6,5.8,1.7,328,65,2.7,6,431,0.1,0.6,,30200,12,0.5,0.3,4.5,0,36.3
DR041,"Daun kesum, segar",KZGPI-1990,84.8,48,4.5,0.8,9.1,1.6,0.8,125,142,2.6,11,174.7,0.4,1.2,0,4216,8715,0.01,0.1,1.6,4,53
DR042,"Daun kol sawi, segar",KZGPI-1990,93.1,22,2.1,0.5,3.6,0.9,0.7,200,92,3.2,19,386.2,0.1,0.2,0,1806,2177,0.03,0.2,0.6,3,87
DR043,"Daun koro, segar",DABM-1964,91,23,3,0.3,3.7,,2,134,81,6.2,4,68.4,0.2,0.5,,2386,5240,0.28,0.2,1.3,29,65
DR044,"Daun kubis, segar",KZGMI-2001,86.2,51,2.5,1.1,8,3.4,2.2,100,50,3.4,50,100,0.9,0.6,,9999,,0.4,0.1,0.2,16,75
DR045,"Daun kumak, segar",KZGPI-1990,95.2,14,1.3,0.3,2.3,0.9,0.9,90,59,2.7,2,36.5,0.1,0.3,,1274,2961,0.01,0,0.5,3,78
DR046,"Daun labu siam, segar",DABM-1964,89.7,34,4,0.4,4.7,3.5,1.2,58,70,2.5,16,630.7,0.2,0.3,,4773,2025,0.08,0.4,1.7,16,100
DR047,"Daun labu
waluh/kuning, segar",DABM-1964,89.7,34,3.6,0.6,4.5,2.9,1.6,138,99,3.7,16,630.7,0.2,0.3,,1258,2750,0.14,0.2,1.3,36,70
DR048,"Daun lamtoro, segar",KZGPI-1990,74,87,8.3,1.8,14.4,3.3,1.5,725,174,3.9,10,197.7,0.5,1.4,0,6900,13040,0,0.1,2.3,32,40
DR049,"Daun leilem, segar",KZGMI-2001,79.4,76,2.8,0.2,15.8,3.1,1.8,296,22,3.4,6,46,0.5,1.1,,753,,0.3,0.1,2.5,22,90
DR050,"Daun leunca, segar",DABM-1964,85,49,4.7,0.5,8.1,,1.7,210,80,6.1,,,,,,,1900,0.14,,,40,70
DR051,"Daun lobak, segar",DKBM-1964,90,30,2.3,0.4,5.8,3.2,1.4,140,33,3.7,16,747.4,0.2,0.2,,5039,1000,0.07,1.1,6.5,"10
9",70
DR052,"Daun lompong talas,
segar",DABM-1964,87.2,44,3,0.8,7.4,3.3,1.6,76,59,1,3,578.4,0.2,0.4,,2584,2000,0.08,0.4,1.4,31,75
DR053,"Daun mangkokan,
segar",DABM-1964,82,57,3.7,0.3,11.8,,2.2,474,49,4,,,,,,,5450,0.06,,,83,80
DR054,"Daun matel ambon,
segar",KZGPI-1990,77.1,71,6.8,1.6,11.5,4.6,3,93,95,10.2,,,,,0,,49,0.08,,,26,100
DR055,"Daun melinjo, segar",DABM-1964,70.8,104,5,1.3,21.3,10.3,1.6,219,82,4.2,12,604.8,0.4,0.6,,823,10000,0.09,,,"18
2",88
DR056,"Daun mengkudu,
segar",KZGPI-1990,80.9,65,4,1.7,11.4,3.9,2,296,40,6.9,,,,,0,2,4958,0.01,0.1,5.7,35,90
DR057,"Daun ndusuk, segar",KZGMI-2001,56,166,1.7,0.5,38.8,10.7,3,40,20,1.8,40,310,0.2,0.7,,14457,,0.4,0.1,0.1,30,
DR058,"Daun oyong, segar",DABM-1964,93,22,1,0.1,5.3,2,0.6,21,44,2,40,295.5,0.1,0.2,,855,1000,0.08,0.1,0.8,"15
0",65
DR059,"Daun pakis, segar",KZGPI-1990,86.8,39,4.5,0.4,6.9,2,1.4,136,159,2.3,20,201.9,0.2,0.3,0,1625,3292,0.02,0.1,0.5,3,70
DR060,"Daun pakis longgiho,
segar",KZGMI-2001,89.5,54,2.2,3.6,3.1,2.1,1.6,40,80,0.7,70,500,0.4,0.1,,168,,0.4,0.3,0.2,8,70
DR061,"Daun pakis
wambateu, segar",KZGMI-2001,86.9,53,3.4,1.2,7.2,4.8,1.3,30,100,0.3,20,200,0.2,0.3,,191,,0.7,0.2,0.3,6,70
DR062,"Daun paku, segar",KZGMI-2001,88.8,29,3.4,0.1,6.5,4.3,1.2,13,88,1.3,19,434,0.5,0.7,,18,,0.2,0.1,11.7,10,70
DR063,"Daun pangi,segar",KZGMI-2001,76.1,104,3.9,0.6,17.9,8.3,1.5,256,22,1.8,4,266,1.7,0.5,,55,,0.4,0.1,0.1,23,90
DR064,"Daun pare, segar",KZGMI-2001,87.3,49,2.7,1,8.4,3,1.6,217,70,3.3,7,498,0.4,1.2,,1800,,0.4,0.2,0.6,7,
DR065,"Daun pepaya, segar",DABM-1964,75.4,87,8,2,11.9,1.5,2.7,353,63,0.8,4,926.6,0.2,1.5,,5409,18250,0.15,0.5,1.9,"14
0",71
DR066,"Daun pohpohan, segar",KZGPI-1990,87.4,37,2.5,0.8,6.9,2.6,2.4,744,80,5.9,,,,,0,,7378,0.03,,,5,69
DR067,"Daun selasih, segar",KZGMI-2001,83.1,62,4,0.5,10.5,5.3,1.9,122,16,13.9,3,259,0.4,0.7,0,4112,,0.5,0.1,0.2,24,53
DR068,"Daun semanggi, segar",KZGPI-1990,84.7,45,4.4,0.5,8.5,1.9,1.9,98,90,7,64,520.7,0.5,0.3,0,64,3365,0.01,0.5,0.7,6,90
DR069,"Daun simpur, segar",KZGPI-1990,86.2,53,3.2,2.5,7.6,1.6,0.9,228,194,3.5,,,,,0,,3346,0.02,,,5,100
DR070,"Daun singkil, segar",KZGPI-1990,80.9,68,2,1,15.2,3.3,0.9,178,86,2.1,,,,,,,6042,0.02,,,3,70
DR071,"Daun singkong, segar",KZGPI-1990,84.4,50,6.2,1.1,7.1,2.4,1.2,166,99,1.3,17,23.1,0.1,2,0,3204,7052,0.04,0.1,1.8,"10
3",87
DR072,"Daun singkong
ambon, segar",DABM-1964,58,144,12.7,1.2,25.2,10.2,2.9,165,54,3.9,44,62.2,0.2,5.4,,8627,13000,0.21,1,4.2,"22
0",87
DR073,"Daun singkong
ampenan, segar",KZGMI-2001,84.4,50,6.2,1.1,7.1,2.4,1.2,352,123,2.7,49,570,0.2,1.3,,7917,,0.5,0.1,1.6,"10
3",87
DR074,"Daun singkong
kopang, segar",KZGMI-2001,81.1,74,6.3,0.7,10.7,4.6,1.2,142,115,1.7,32,382,0.2,1.5,,3882,,0.5,0.5,1.9,"21
1",87
DR075,"Daun sintrong, segar",KZGPI-1990,88.5,36,2.6,0.9,6.1,1.7,1.9,398,95,9.3,64,444.4,0.1,0.4,0,10178,8868,0.03,0.2,0.9,3,94
DR076,"Daun talas, segar",KZGPI-1990,81.1,59,3,0.4,13.5,3,2,236,50,2.4,4,854.1,0.4,0.5,0,3816,5740,0.07,0.6,2,24,80
DR077,"Daun tespong, segar",DABM-1964,81,70,2.9,0.3,13.9,2.3,1.9,155,65,2.5,72,,0.15,0.9,,171,2500,0.05,0.7,1.4,21,60
DR078,"Daun ubi kuning,
segar",KZGMI-2001,83.5,62,3.7,0.3,11.1,6.4,1.4,170,40,0.6,10,0,0.2,0.5,,3564,,0.3,0.3,1.2,4,75
DR079,"Daun ubi merah, segar",KZGPI-1990,84.4,48,3,0.3,10.8,1.4,1.5,80,81,6.4,33,517.3,0,0.4,0,5453,4697,0.1,0.2,1.2,27,75
DR080,"Daun ubi putih, segar",KZGMI-2001,87.5,46,2.8,0.2,8.2,4.8,1.3,120,50,0.8,10,0,0.2,0.5,,103,,0.3,0.3,0.9,8,75
DR081,"Daun ubi tinta, segar",KZGMI-2001,85.1,55,1.7,0.1,11.9,7.6,1.2,120,40,0.6,10,0,0.2,0.5,,516,,0.2,0,0,7,75
DR082,"Eceng, segar",DABM-1964,93,19,1,0.2,3.8,1.8,2,80,45,3.7,45,634.1,,,,7,1000,0.08,0.1,0.7,50,70
DR083,"Gambas (oyong),
segar",DABM-1964,94.5,19,0.8,0.2,4.1,1.3,0.4,19,33,0.9,23,109.1,0,0.1,,17,380,0.03,0,0.4,8,85
DR084,"Genjer, segar",DABM-1964,90,35,1.7,0.2,7.7,2.5,0.4,62,33,2.1,64,905.8,,,,,3800,0.07,0.1,1.1,54,70
DR085,"Jagung muda / semi,
segar",DABM-1964,89.5,35,2.2,0.1,7.4,1.9,0.8,7,100,0.5,353,230.2,0.1,0.8,0,23,200,0.08,0.16,0.9,8,100
DR086,Jamur encik,KZGMI-2001,24.8,296,9.4,1.1,62,,2.7,5,277,5.3,2,0,0.2,3.1,,,,1.1,0.1,,,95
DR087,"Jamur kuping, kering",DABM-1964,14.9,294,16,0.9,64.6,46.5,3.6,51,223,6.7,174,726.1,0.29,5.5,0,11,0,0.11,0.6,2.7,0,100
DR088,"Jamur kuping, segar",DABM-1964,93.7,21,3.8,0.6,0.9,5.1,1,3,94,1.7,17,33.4,0.19,0.1,0,1,0,0.1,0.09,0.1,5,100
DR089,"Jamur merang, segar",BKP,91.5,30,3.5,0.2,4,2.4,0.8,14,117,1,6,300,0.3,0.8,,0,0,0.02,0.2,0.5,0,100
DR090,"Jamur tiram, segar",BKP,92.5,30,1.9,0.1,5.5,3.6,0.6,9,83,0.7,22,226,0,0.8,,0,0,0.3,0.2,1,0,100
DR091,Jamur sagu,KZGMI-2001,91.3,48,1.9,3.2,2.8,1,0.8,10,90,0.6,100,440,0.6,0.6,,0,,0.2,0.2,6.5,,95
DR092,"Jantung pisang, segar",DABM-1964,90.2,32,1.2,0.3,7.1,3.2,1.2,30,50,0.1,3,524,0.09,0.3,0,201,170,0.05,0.03,0.8,10,25
DR093,"Jengkol, segar",KZGMI-2001,52.7,192,5.4,0.3,40.7,1.5,0.9,4,150,0.7,60,241,0.3,0.6,,,,0.05,0.2,0.5,31,95
DR094,"Jotang, segar",DABM-1964,89,34,1.9,0.3,7.1,3.5,1.7,162,41,4,59,388.5,0.3,1.2,,2,3918,0.03,,0.4,20,70
DR095,"Kabau, segar",KZGMI-2001,67.2,130,6.7,0.3,25.2,2.9,0.6,4,204,0.5,1,397.8,0.2,0.5,,165,,0.8,0.1,0.3,16,95
DR096,"Kacang mekah,
polong, segar",KZGPI-1990,93.6,22,1.1,1,3.4,1.1,0.9,63,296,1,2,69.2,0.3,,0,197,116,0.02,,0.4,0,91
DR097,"Kacang panjang, segar",KZGMI-2001,91.8,31,2.3,0.1,5.3,2.7,0.5,60,64,0.6,30,213,0.1,0.5,0,125,,0.7,0.1,0.3,46,92
DR098,Kacang ranti polong,KZGPI-1990,88.5,37,3.1,0.2,7.9,2.5,0.3,103,126,0.8,,,,,,,2312,0.02,,,6,83
DR099,"Kalakai, segar",KZGMI-2001,89.9,38,2.4,0.2,6.6,5.8,0.9,18,90,1.1,7,443,0.4,0.9,,44,,0.3,0.1,,8,70
DR100,"Kangkung, segar",KZGPI-1990,91,28,3.4,0.7,3.9,2,1,67,54,2.3,65,250.1,0.13,0.4,,2868,5542,0.07,0.36,2,17,60
DR101,Kangkung tondano,KZGMI-2001,88.5,43,1.8,0.2,8.4,4.3,1.1,72,9,0.7,30,361,0.3,0.4,,2741,,0.8,0.1,1.1,23,60
DR102,"Kapri muda, segar",DABM-1964,86.8,45,3.3,0.2,9,1.8,0.7,51,85,1,2,118.4,0.09,0.7,,72,440,0.2,0.1,0.9,49,80
DR103,Karawila,KZGMI-2001,93.7,25,2.3,0.2,3.5,2.1,0.3,25,67,0.3,8,88.4,0.08,0.3,,21,,0.1,0.1,0.4,39,80
DR104,"Kecipir muda, segar",DABM-1964,90.4,32,2.9,0.2,5.8,5.5,0.7,63,37,0.3,3,103.8,0.18,0.4,,261,595,0.24,0.11,0.7,19,96
DR105,"Kecombrang, segar",KZGPI-1990,90,34,0.9,1,6.7,2.6,1.4,60,16,1,47,650.6,,,0,0,73,0,0.02,0.8,0,100
DR106,"Kelawi,kluwih, segar",DABM-1964,70,118,1.5,0.3,27.2,5,1,28,32,0.9,2,500.9,0.09,0.1,,0,20,0.1,0.03,0.9,19,77
DR107,"Kembang turi, segar",DABM-1964,87.4,51,1.8,0.6,9.6,5,0.6,23,29,0.9,22,275.3,0.15,0.9,,201,105,0.13,0.12,0.6,41,83
DR108,"Kerokot, segar",DABM-1964,93,26,1.7,0.4,3.8,1,1.1,103,39,3.6,4,240.5,0.23,0.9,,0,2550,0.03,0.09,0.2,25,80
DR109,"Ketimun, segar",KZGPI-1990,97.9,8,0.2,0.2,1.4,0.3,0.3,29,95,0.8,2,57.1,0.02,0.1,0,18,314,0.01,0.02,0.1,1,55
DR110,"Ketimun krai, segar",KZGPI-1990,96.8,10,0.5,0.2,2,0.6,0.5,20,98,1,10,82.1,0.03,0.1,0,19,21,0.02,0.03,0.1,3,82
DR111,"Ketimun madura,
segar",KZGPI-1990,97.1,9,0.5,0.1,1.9,0.7,0.4,15,102,0.6,2,78.9,0.02,0.1,0,25,0,0.02,0.02,0.1,5,89
DR112,"Komak, segar",KZGMI-2001,74.3,99,3.3,0.1,21.2,10.3,1.1,50,99,13.1,15,567,0.2,0.6,,5,,0.2,0.19,0.1,,80
DR113,Kool kembang,DABM-1964,91.7,25,2.4,0.2,4.9,1.6,0.8,22,72,1.1,47,187,0.04,0.3,,24,90,0.11,0.09,0.6,69,57
DR114,"Kool merah,kool putih",DABM-1964,92.4,29,1.4,0.2,5.3,1.9,0.9,46,31,0.5,28,236.8,0.29,0.3,,46,80,0.06,0.07,0.3,50,75
DR115,"Koro kerupuk, polong",DABM-1964,67.2,128,8.3,0.7,22.1,,1.7,17,12,2.7,,,,,,,80,0.11,,,31,68
DR116,"Koro wedus, polong",DABM-1964,88,46,3,0.3,7.9,3.3,0.8,56,47,1.1,2,249.3,0.09,0.4,,66,870,0.09,0.09,0.5,17,70
DR117,"Kucai, segar",DABM-1964,86.3,45,2.2,0.3,10.3,4.8,0.9,52,50,1.1,21,439.5,0.11,0.5,,2685,40,0.11,0.2,1.8,17,52
DR118,"Kucai muda (Lokio),
segar",DABM-1964,86,42,3.8,0.6,7.8,4.9,1.8,76,91,2.5,22,449.1,0.11,0.5,,2744,500,0.11,0.2,1.8,59,100
DR119,Kulit melinjo,KZGPI-1990,71.9,111,4.5,1.1,20.7,5,1.8,117,179,2.6,,,,,0,,1267,0.07,,,7,100
DR120,"Kundur, segar",KZGMI-2001,94,22,0.4,0.2,4.7,1.3,0.7,3,54,0.5,2,200,0.1,0.3,,7,,0.1,0.03,0.4,1,57
DR121,"Labu air, segar",DABM-1964,95,19,0.6,0.2,3.8,0.6,0.4,12,18,0.6,2,168.2,0.03,0.8,,11,70,0.04,0.02,0.4,10,80
DR122,"Labu kuning, segar",KZGMI-2001,86.6,51,1.7,0.5,10,2.7,1.2,40,180,0.7,280,220,0.35,1.5,,1569,,0.2,0,0.1,2,74
DR123,"Labu siam, segar",DABM-1964,92.3,30,0.6,0.1,6.7,6.2,0.3,14,25,0.5,3,167.1,0.16,1,,48,20,0.02,0,0.6,18,83
DR124,"Labu waluh, segar",DABM-1964,91.2,32,1.1,0.1,6.6,0.5,1,45,64,1.4,1,356.2,0.13,0.3,,712,180,0.08,0.12,0.6,52,77
DR125,"Lantar, segar",KZGMI-2001,91.2,34,2.2,0.3,5.5,2.9,0.8,10,58,0.4,3,155,0.2,0.4,,38,,0.3,0.07,0.4,4,
DR126,"Lobak, segar",DABM-1964,94.1,21,0.9,0.1,4.2,1.4,0.7,35,26,0.6,49,109.3,0.03,0.2,,0,10,0.03,0.04,0.3,32,87
DR127,"Lumai/Leunca, segar",KZGMI-2001,90.5,38,1.1,0.3,7.6,2,0.5,7,55,1,2,,0.1,0.3,,25,,0.2,0.1,0.6,17,95
DR128,"Melinjo, segar",DABM-1964,80,66,5,0.7,13.3,,1,163,75,2.8,,,,,,,1000,0.1,,,"10
0",60
DR129,Mostarda metan -sawi,KZGMI-2001,91.4,33,2.3,0.5,4.7,1.8,1.1,60,30,3.1,20,100,0.1,0.4,,1575,,0.2,0.1,0.1,12,85
DR130,"Nangka muda, segar",DABM-1964,85.4,57,2,0.4,11.3,8.3,0.9,45,29,0.5,1,246.5,0.04,0.1,,21,25,0.07,0.06,0.7,9,80
DR131,"Paria putih, segar",KZGPI-1990,94.4,19,1,0.4,3.6,1.3,0.6,31,65,0.9,5,277.7,0.03,0.8,0,197,80,0.18,0.04,0.4,58,80
DR132,"Pepare ular, segar",KZGMI-2001,95.1,19,0.6,0.1,3.9,1,0.3,20,10,0.4,130,30,0.1,0.1,,69,,0.1,0.1,0.1,9,97
DR133,"Pepaya muda, segar",DABM-1964,92.3,29,2.1,0.1,4.9,2.1,0.6,50,16,0.4,22,211.2,0.01,0,,0,50,0.02,0.03,0.3,19,65
DR134,"Petai, segar",KZGMI-2001,77.2,92,5.4,1.1,15.2,2,1.1,14,170,1.6,55,221,0.2,0.8,,114,,0.8,0.1,6.1,34,36
DR135,"Peterseli, segar",DABM-1964,83.9,53,3.7,1,9,0,2.4,193,84,4.3,18,"1125.
6",0.2,1.4,,2940,8230,0.11,0.29,0.7,"19
3",95
DR136,"Pucuk lumai/daun
leunca, segar",KZGMI-2001,91,33,4.5,0.4,2.8,,1.3,13,75,2.9,2,0,0.2,0.6,,,,0.5,0.1,,41,70
DR137,"Putri malu, segar",KZGMI-2001,80.2,76,3.6,0.3,14.6,7.1,1.3,119,84,3.3,1,631,0.6,1.4,,4762,,0.6,0.6,,6,
