KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
ER045,"Kelapa hutan, kering",KZGMI-2001,6,623,2,"52.
1",36.5,15.3,3.4,120,280,3.8,100,460,1.7,1.9,,,,,,0.2,,
ER046,"Kelapa muda, daging,
segar",DABM-1964,83.3,68,1,0.9,14,0,0.8,7,30,1,17.9,564.6,0.1,0.3,0,0,,0.06,0.02,0.6,4,53
ER047,"Kemang, segar",DABM-1964,86.5,48,1,0.2,11.9,1.7,0.4,10,24,0.1,2,88.6,0,0.1,,318,6,0.08,0.01,0.3,58,65
ER048,"Kesemek, segar",DABM-1964,78.2,78,0.8,0.4,20,0.6,0.6,6,26,0.3,0,34.5,0.1,0.1,,109,2710,0.05,0,0.1,11,97
ER049,"Kokosan, segar",DABM-1964,85,86,1.6,0.2,13,1.4,0.2,22,38,1.3,2,118.3,0.1,0.2,,0,20,0.04,0.04,1.5,3,64
ER050,"Kranji, segar",KZGPI- 1990,20.1,315,2.1,1.4,73.5,3.6,2.9,160,120,3.7,,,,,,,,0.02,,,,31
ER051,"Langsat, segar",DABM-1964,84.1,56,0.9,0.2,14.3,1.4,0.5,17,24,1.1,1,232,0.1,0.2,,,0,0.07,0,0.8,9,64
ER052,"Lemon, segar",KZGMI-2001,92.2,34,0.5,0.8,6.2,0.1,0.3,23,20,0.3,31,140,0.1,0.2,,0,,0.09,0.12,0.3,50,100
ER053,"Lontar, segar",KZGPI- 1990,93,27,0.4,0.2,6,1.6,0.4,91,243,0.5,,,,,,,,0.03,,,,79
ER054,"Mangga, segar",KZGMI-2001,86.6,52,0.7,0,12.3,1.6,0.2,20,16,1,3,140,0.3,0,,316,,0.03,0.01,0.3,12,65
ER055,"Mangga benggala,
segar",KZGMI-2001,84.4,63,2.4,0.4,12.4,5.8,0.4,9,13,0.2,3,79,0.1,0.1,,10,,0.18,0.01,0.4,43,65
ER056,"Mangga gedung, segar",DABM-1964,87.4,44,0.7,0.2,11.2,1.6,0.5,13,10,0.2,2,83.6,0,0.1,,113,16400,0.08,0.01,0.3,30,65
ER057,"Mangga golek, segar",DABM-1964,82.2,63,0.5,0.2,16.7,2.3,0.4,14,10,0.7,3,118.1,0.1,0.1,,160,3715,0.08,0.02,0.4,65,65
ER058,"Mangga harumanis,
segar",DABM-1964,86.6,46,0.4,0.2,11.9,1.7,0.8,15,9,0.2,2,88.9,0,0.1,,120,1200,0.08,0.01,0.3,6,65
ER059,"Mangga indramayu,
segar",DABM-1964,80.2,72,0.8,0.2,18.7,2.5,0.1,13,10,1.9,3,131.4,0.1,0.1,,178,2900,0.06,0.02,0.5,16,65
ER060,"Mangga kopek, segar",DABM-1964,84.5,56,0.4,0.2,14.6,2,0.3,16,10,1.7,2,102.9,0,0.1,,139,6520,0.03,0.01,0.4,27,65
ER061,"Mangga kwini, segar",KZGMI-2001,78.6,86,0.7,0.5,19.8,6.5,0.4,11,11,0.2,1,16,0.1,0.1,,932,,0.15,0.02,0.5,18,65
ER062,"Mangga manalagi,
segar",KZGMI-2001,66.5,133,1,0.1,32.1,11.8,0.3,20,23,1,70,161,0,0,0,4,,0.07,0,0.6,61,65
ER063,"Mangga muda, segar",DABM-1964,83.7,59,0.5,0.4,15.1,,0.3,12,11,0.4,2,108.2,0.1,0.1,,146,85,0.06,0.02,0.4,2,73
ER064,"Manggis, segar",DABM-1964,83,63,0.6,0.6,15.6,1.5,0.2,8,12,0.8,10,61.9,0.1,0.1,,0,0,0.03,0.03,0.3,5,29
ER065,"Markisa, segar",KZGPI- 1990,64.7,144,3.5,1.2,29.8,11.4,0.8,27,203,1.4,37,453.8,0.1,0.1,0,969,691,0.02,0.17,2,10,48
ER066,"Matoa, segar",KZGMI-2001,76.5,90,1.2,0.1,21.1,0.5,1.1,20,40,0.6,10,190,0.3,0.6,,2,,0.18,0.09,0.5,54,40
ER067,"Melon, segar",BKP,90.8,37,0.6,0.4,7.8,1,0.5,12,14,0.4,27,167,0.3,0.1,,1,0,0.02,0.1,0,0,58.1
ER068,"Menteng, segar",DABM-1964,79,65,1.7,0.3,16.1,,2.9,13,20,0.8,,,,,,,0,0,,,,64
ER069,"Nanas palembang,
segar",KZGMI-2001,85.5,58,0.7,0.2,13.3,1.6,0.3,29,15,0.6,7,117,0,0.1,,17,,0.26,0.03,0.2,11,53
ER070,"Nanas, segar",KZGPI- 1990,88.9,40,0.6,0.3,9.9,0.6,0.3,22,14,0.9,18,111,0,0.1,0,17,90,0.02,0.04,0.2,22,53
ER071,"Nangka masak pohon,
segar",DABM-1964,70,106,1.2,0.3,27.6,3.7,2.7,20,19,0.9,2,407,246.6,1.4,,149,330,0.07,0.1,1,7,28
ER072,"Pala, daging, segar",DABM-1964,88.1,42,0.3,0.2,10.9,0.5,0.5,32,24,1.5,,,,,,,29,,,,22,30
ER073,"Pepaya, segar",DABM-1964,86.7,46,0.5,12,12.2,1.6,0.6,23,12,1.7,4,221,0,0.3,,1038,365,0.04,0.06,0.4,78,75
ER074,"Pisang ambon, segar",KZGMI-2001,72.9,108,1,0.8,24.3,1.9,1,20,30,0.2,10,0,0.2,0.2,,37,,0.05,0.11,0.1,9,75
ER075,"Pisang angleng (pisang
ampyang), segar",DABM-1964,80.3,68,1.3,0.2,17.2,0.8,1,10,26,0.6,23,215.7,0,0,,9,76,0.08,0.05,2.5,6,75
ER076,"Pisang ayam, segar",KZGMI-2001,71.2,120,1.1,0.2,26.8,4.1,0.7,20,61,0.4,6,392,0.1,0.3,,24,,0.1,0.02,1,26,75
ER077,"Pisang gapi, segar",KZGMI-2001,66.3,131,1.6,0.1,31.1,11.7,1,58,40,0.3,6,392,0.1,0.3,,13,,0.18,0.02,0.3,13,75
ER078,"Pisang goroho, segar",KZGMI-2001,69.4,119,1.5,0.2,27.9,4.6,1,2,30,0.2,36,359,0.1,0.3,,11,,0.15,0.02,1.1,10,75
ER079,"Pisang hijau, segar",KZGPI- 1990,68.9,121,1,0.1,28.9,0.4,1.1,9,37,0.9,31,529.4,0.3,0.6,,48,1000,0.13,0.06,0,13,72
ER080,"Pisang kayu, segar",KZGMI-2001,74.4,100,1.4,0.5,23.6,2.6,0.6,15,0,0.1,1,493,0.1,0.3,,3,,0.1,0,0.6,11,75
ER081,"Pisang kepok, segar",KZGMI-2001,71.9,109,0.8,0.5,26.3,5.7,1,10,30,0.5,10,300,0.1,0.2,,0,,0.1,0,0.1,9,75
ER082,"Pisang ketip, segar",KZGMI-2001,63.4,145,1.1,0.3,34.5,6.6,0.7,5,54,0.1,4,726,0.2,0.5,,3,,0.13,0.02,0.8,95,75
ER083,"Pisang kidang, segar",KZGPI- 1990,75.4,96,1,0.2,22.5,0.6,0.9,87,173,0.6,6,418.8,0.2,0.5,,38,58,0.04,0.1,0.9,2,70
ER084,"Pisang lampung, segar",DABM-1964,72.1,99,1.3,0.2,25.6,4.3,0.8,10,19,0.9,28,475,0.3,0.5,,43,618,0.07,0.12,1,4,75
ER085,"Pisang mas bali
ampenan, segar",KZGMI-2001,76.8,92,1.4,0.2,21,3.7,0.5,7,29,1.2,32,272,0.2,0.4,,14,,0.09,0.03,0.6,11,75
ER086,"Pisang mas bali
kopang, segar",KZGMI-2001,64.2,127,1.4,0.2,31.8,3.7,2.4,10,0,0.1,43,616,0.1,0.4,,21,,0.21,0.05,0.9,17,75
ER087,"Pisang mas, segar",DABM-1964,64.2,127,1.4,0.2,33.6,1.4,0.6,7,25,0.8,42,392,195.8,0.5,,17,79,0.09,0.08,4.5,2,85
ER088,"Pisang raja sereh,
segar",KZGPI- 1990,69.3,108,1.3,0.3,28.2,0.7,1,16,38,0.1,31,522.6,0.3,0.6,,48,480,0.02,0.08,1.1,2,86
ER089,"Pisang raja, segar",DABM-1964,65.8,120,1.2,0.2,31.8,5.3,1,10,22,0.8,35,582.2,0.3,0.7,,53,950,0.06,0.14,1.2,10,70
ER090,"Pisang rotan, segar",KZGPI- 1990,76.1,98,1.3,1.2,20.5,1,0.9,17,51,1.1,24,406.9,0.2,0.5,,37,697,0.01,0.1,0.9,2,56
ER091,"Pisang talas, segar",KZGMI-2001,71,113,1.2,0.2,26.7,4.4,0.9,22,22,0.6,29,48,0.3,0.1,,159,,0.12,0.03,1,9,75
ER092,Pisang tujuh bulan,KZGMI-2001,75.9,94,0.6,0.2,22.5,3.7,0.8,50,20,0.2,0,4,0.1,0.4,0,72,,0.03,0.03,0.3,6,75
ER093,"Pisang ua, segar",KZGMI-2001,67.8,128,0.8,0.5,30.2,8.1,0.7,12,28,0.7,33,382,0.2,0.3,,5,,0.09,0.01,1.2,4,75
ER094,"Pisang uli, segar",KZGPI- 1990,61.8,134,1.1,0.5,35.5,1.4,1.1,31,53,0.9,39,650.3,0.3,0.7,,59,113,0.11,0.16,1.4,3,77
ER095,"Purut, segar",KZGPI- 1990,81.1,76,4.1,1.1,15.2,1.7,1.4,30,76,0.6,10,285.2,,,,27,93,0.01,0.11,0,0,34
ER096,"Rambutan binjai,
segar",KZGMI-2001,81,76,0.5,0.2,18,3.8,0.3,15,22,1.2,22,120,0.2,0.2,,0,,0.19,0.01,0.4,13,40
ER097,"Rambutan, segar",DABM-1964,80.5,69,0.9,0.1,18.1,0.8,0.4,16,16,0.5,16,104.2,0.2,0.1,,0,0,0,0.07,0.5,58,40
ER098,"Salak bali, segar",KZGPI- 1990,85.1,57,0.5,0.1,13.6,1.3,0.7,94,25,2.1,,,0.1,0.2,0,3,37,0,,,0,93
ER099,"Salak medan, segar",KZGMI-2001,78.1,55,0.4,0.2,12.8,3.2,8.5,6,46,0.5,39,113,0.2,0.3,0,4,,0.04,0.03,,58,93
ER100,"Salak pondoh, segar",KZGPI- 1990,77.9,87,0.8,0.4,20.1,0,0.8,38,31,3.9,,,0.1,0.2,0,,40,0,0.12,0.1,8,59
ER101,"Salak, segar",DABM-1964,78,77,0.4,,20.9,,0.7,28,18,4.2,,,0.1,0.2,,4,0,0.04,,,2,93
ER102,"Sawo duren, segar",KZGPI- 1990,87.3,64,1,3.1,8,0.8,0.6,18,45,0.8,13,111.4,0,0.1,0,0,0,0.01,0.02,0.1,1,64
ER103,"Sawo kecik, segar",KZGPI- 1990,73.8,111,0.9,2.3,21.6,1,1.4,20,185,0.7,28,117.8,0,0.1,0,119,12,0,0.04,1.5,19,83
ER104,"Sawo Manila, segar",DABM-1964,75.5,92,0.5,1.1,22.4,9.5,0.5,25,12,1,26,110.2,0,0.1,0,111,60,0.01,0.04,1.4,21,79
ER105,"Semangka, segar",DABM-1964,92.1,28,0.5,0.2,6.9,0.4,0.3,7,12,0.2,7,93.8,0,0.1,,315,590,0.05,0.05,0.3,6,46
ER106,"Sirsak, segar",DABM-1964,81.7,65,1,0.3,16.3,3.2,0.7,14,27,0.6,2,298.9,0.1,1,,8,10,0.07,0.08,0.7,20,68
ER107,"Sowa, segar",KZGMI-2001,87.7,48,1.6,0.6,9.1,45,10,50,40,0.3,9,0,0.1,1.5,0,364,,0.15,0.23,0.2,4,
ER108,"Srikaya, segar",KZGPI- 1990,83.4,63,1.1,0.5,13.9,2.1,1.1,127,30,2.7,,,,,0,,31,0.08,,,28,48
ER109,"Sukun muda, segar",KZGPI- 1990,69.4,119,1.4,0.2,28.1,1.4,1,24,44,1.4,24,414.4,0.1,0.1,,28,4896,0.17,0.17,3.7,52,84
ER110,"Sukun tua, segar",KZGPI- 1990,67.8,126,1.6,0.2,24.5,1.5,1,37,47,1.6,25,436,0.1,0.1,,30,2000,0.18,0.17,3.9,58,88
ER111,"Vigus, segar",KZGMI-2001,88,44,2.4,0.1,8.3,,1.2,30,20,0.3,2,180,0.1,0.2,,,,0.26,0.01,,43,
ER112,"Wani, segar",KZGPI- 1990,81.2,74,0.8,0.3,17.1,3.1,0.6,66,29,1.2,,,,,,,32,0.08,,,80,77
OLAHAN/PRODUK/KOMPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
EP001,Barongko,KZGMI-2001,66.7,159,3.1,5.8,23.5,,0.7,35,65,1.2,46,78,0.3,0.6,,,,,,,,100
EP002,Dodol nanas,KZGMI-2001,16.1,338,1.5,1.2,80.3,,0.9,,,,,,,,,,,0.3,,,8,100
EP003,Getuk pisang,KZGPI- 1990,63.7,144,1.1,0.4,34.1,0.4,0.7,48,32,1,,,,,,,1240,0.55,,,0,100
EP004,Keripik lampung,KZGPI- 1990,5,485,1.7,"22.
2",69.7,0.6,1.5,43,65,0.8,,,,,,,1464,0.34,,,0,100
EP005,Ledre pisang,KZGPI- 1990,3.6,405,4.8,5.1,84.9,0.4,1.6,59,124,2.6,,,,,,4,7330,0.41,,,0,100
EP006,Lempog durian,KZGPI- 1990,25.2,320,3.5,5.7,63.7,4.9,1.9,190,93,2.5,,,,,,,,0.05,0.04,,,100
EP007,Loka anjoro,KZGMI-2001,63.3,163,1.1,4.3,30,,1.3,,,,,,,,,,,,,,,100
EP008,Rica-rica taipa,KZGMI-2001,86.7,49,1.6,0.3,10,,1.4,11,48,3,426,42,0.5,0.5,,13,,0.18,,,15,100
EP009,Rujak aceh,KZGMI-2001,78.7,82,0.4,0.3,19.7,2.4,0.9,,,,,,,,,10,,0.22,0.03,,42,100
EP010,Sale kesemek,KZGMI-2001,25,296,1.1,0.6,71.4,,1.8,,,,,,,,,,,,,,3,100
EP011,Sale pisang siam,KZGPI- 1990,28.9,281,2.4,0.7,66.1,1,2,41,64,1.2,,,,,,,272,0.1,,,0,100
EP012,"Sale pisang, cilacap",KZGPI- 1990,27.1,295,2.3,2.1,66.9,1.3,1.7,47,97,2.8,,,,,,,296,0.14,,,,100
EP013,Sanggara belanda,KZGMI-2001,47.1,242,6.4,7.1,38.2,,1.2,,,,,,,,,,,,,,,100
EP014,Tepung Pisang,BKP,13.8,338,2.9,0.4,80.6,5.3,2.1,23,62,4,18,734,0.1,0.5,,13,1,0.02,0.02,1,2,100
EP015,Tepung Sukun,BKP,10.1,353,2.9,0.5,84.4,3.7,2.1,100,85,4.6,9,2008,0.1,0.6,,0,0,0.4,0.02,0.1,3,100
