KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
GR052,"Ikan papuyu/ betok,
segar",KZGMI-2001,75,120,14.3,4.9,4.6,0,1.2,329,436,1.5,240,169,0.8,1.1,,0,,0,0.05,3.1,,
GR053,"Ikan patin, segar",KZGMI-2001,74.4,132,17,6.6,1.1,0,0.9,31,173,1.6,77,346,0.7,0.8,,7,,0.2,0.03,1.7,,
GR054,"Ikan pomo, segar",KZGMI-2001,68.3,147,22.5,5.2,2.6,,1.4,80,230,1.3,,380,0.2,0.7,89,,,,,,,
GR055,"Ikan puntin, segar",KZGMI-2001,81.1,76,14.4,1.1,2.2,,1.2,28,166,0,,325,0.1,0.6,,,,0.31,0.11,,,
GR056,"Ikan saluang, segar",KZGMI-2001,74.8,113,13.9,4.9,3.4,0,3,642,646,1.9,51,182,0.8,3.6,,,,0.21,0.02,1.8,,89
GR057,"Ikan sarden, segar",KZGMI-2001,72.7,109,19.9,1.8,3.4,0,2.2,95,597,1.3,266,227,0.3,2,195,0,,0.26,0.03,4.4,,
GR058,"Ikan selar, segar",DABM- 1964,75.4,100,18.8,2.2,0,0,3.6,40,179,0.5,43,392.6,0.1,0.3,45,0,,0.37,0.2,3.4,0,48
GR059,"Ikan sepat, segar",KZGMI-2001,78.8,84,15.2,0.6,4.7,0,0.8,68,171,2.1,211,198,0.7,0.6,,0,,0.16,0.03,1.9,,75
GR060,"Ikan sidat, segar",KZGPI- 1990,71.3,81,11.4,1.9,3.8,0,11.6,118,174,3,46,245.9,0,1.5,15,0,0,0,0.4,3.2,0,100
GR061,"Ikan sunu, segar",KZGMI-2001,75.5,111,13.3,3.4,6.7,,1.1,86,174,1.2,91,197,0,0.6,309,,,1.03,0.1,0.2,,70
GR062,"Ikan tahuman, segar",KZGMI-2001,77.4,88,15.9,0.9,4.1,0,1.8,221,223,0,24,364,0.4,0.7,,,,0.2,0.25,1.6,,
GR063,"Ikan tarmon, segar",KZGMI-2001,76.7,96,19.5,1.1,2,0,0.8,9,129,0.3,43,154,0.1,0.5,,,,0.15,0.02,1.7,,
GR064,"Ikan telan, segar",KZGMI-2001,75.3,95,15.8,0.7,6.5,0,1.7,503,354,0.2,58,294,1.6,1.2,,,,0.18,0.02,1.9,,
GR065,"Ikan tembang, segar",DABM- 1964,65,204,16,15,0,0,4,20,200,2,341,291,0.4,2.6,30,0,,0.05,0,5.6,0,80
GR066,"Ikan tempahas, segar",KZGMI-2001,78.9,101,15.1,4.1,1,0,0.9,32,163,0,50,320,0.7,0.6,,,,0.02,0.05,1.5,,
GR067,"Ikan terbang, segar",KZGMI-2001,76.1,98,19.6,1.7,1,0,1.6,90,190,0.6,90,320,0.1,0.5,39,0,,0,0.1,0.1,,
GR068,"Ikan teri, segar",KZGPI- 1990,80,74,10.3,1.4,4.1,0,4.2,972,253,3.9,554,126.1,305.2,0.2,13,0,28,0.24,0.1,1.9,0,100
GR069,"Ikan titang, segar",KZGMI-2001,78.8,82,17.4,0.4,2.3,0,1.1,145,130,1.8,110,275,0.1,0.8,581,,,0.64,0.03,1.5,,
GR070,"Ikan tongkol, segar",KZGMI-2001,74.7,100,13.7,1.5,8,0,2.1,92,606,1.7,202,227,0.2,1.6,181,0,,0.35,0.03,6.6,,100
GR071,"Ikan turi, segar",KZGMI-2001,76.9,96,19.2,2,0.2,,2.1,340,340,0.8,370,300,0.1,2,26,,,,,,,
GR072,"Keong, segar",DABM- 1964,81,64,12,1,2,0,4,217,78,1.7,231,,0.37,0.1,0,244,,,,,,46
GR073,"Kepiting, segar",DABM- 1964,68.1,151,13.8,3.8,14.1,0,0.2,210,250,1.1,,,,,61,,,0.05,,,0,45
GR074,"Kerang, segar",KZGPI- 1990,78.2,101,14.4,2.6,3.9,0,0.9,321,270,15.6,,,,,0,,0,0.01,,,0,100
GR075,"Kodok, segar",DABM- 1964,81.9,73,16.4,0.3,0,0,1.4,18,147,1.1,,,,,0,,,0.14,,,0,65
GR076,"Kura-kura, segar",DABM- 1964,80,83,19.1,0.2,0,0,0.7,27,87,0.7,,,,,0,,,0.2,,,0,70
GR077,"Kuro, segar",KZGPI- 1990,79.9,87,16,2.2,1,0,0.9,75,136,1,,,,,6,,0,0.04,,,0,52
GR078,"Lokan, segar",KZGMI-2001,80.9,217,11,1.7,5.1,,1.3,20,390,10.9,3,7,0.2,2.7,,,,0.45,0.07,,,
GR079,"Rajungan, segar",KZGMI-2001,80.2,76,12.1,2,2.4,0,2.7,721,214,2.2,69,192,1.7,2.9,599,40,,0.2,0.25,0.2,,
GR080,"Rebon, udang kecil,
segar",DABM- 1964,79,81,16.2,1.2,0.7,0,2.9,757,292,2.2,169,202.9,0.7,1.2,18,0,,0.04,0.1,2.4,0,100
GR081,Rusip,KZGPI- 1990,58.5,110,11.5,2,11.7,0,16.3,479,348,7.1,,,,,0,,0,0.04,,,0,100
GR082,"Udang galah, segar",KZGMI-2001,79,81,16.5,0.3,3,0,1.2,87,167,0.7,95,132,0.7,1.2,,3,,0.24,0.03,2.9,,68
GR083,"Udang, besar, segar",KZGMI-2001,85.5,56,11.4,0.6,1.2,0,1.3,30,20,0.3,190,210,0.4,0.8,,0,,0.14,0,0.1,,68
GR084,"Udang, segar",DABM- 1964,75,91,21,0.2,0.1,0,3.7,136,170,8,178,222.4,0.3,1.3,18,4,,0.01,0.4,3.7,0,68
OLAHAN/PRODUK/KOMPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
GP001,"Bekicot, dendeng,
mentah",KZGPI- 1990,6.7,441,48.7,20.3,15.8,0,8.4,692,523,16.6,,,,,6,,1408,0.56,,,69,100
GP002,"Belut, goreng",KZGPI- 1990,11.2,417,25.9,19.4,32,0,11.5,840,872,4.9,71,217.7,0.3,1.8,0,,0,0,0.2,10.5,0,
GP003,"Cumi-cumi, goreng",KZGPI- 1990,54.2,265,40.6,10.1,0,0,3.1,62,270,2.7,86,81.9,,,0,56,0,0.09,0,6.3,0,
GP004,"Ikan asin, kering",DABM- 1964,40,193,42,1.5,0,0,16.5,200,300,0,,,,,,,,0.01,,,0,70
GP005,"Ikan bandeng presto,
masakan",KZGPI- 1990,45.3,296,17.1,20.3,11.3,0,6,1422,659,1.9,,,,,6,0,400,0.14,,,69,100
GP006,Ikan baung bakar,KZGMI-2001,69.8,144,17.8,5.8,5.2,,1.4,18,169,0,168,236,0.1,0.7,,,,0,0,1.3,,
GP007,Ikan Belida bakar,KZGMI-2001,68.2,128,18,3,7.2,0,3.6,58,134,0,293,198,0.1,0.4,,0,,1.8,0.17,1.5,,
GP008,"Ikan cakalang asap,
mentah",KZGMI-2001,56.9,204,34.2,5.6,1.9,,1.4,14,399,1.3,176,588,0.3,0.7,1546,,,0.53,0.07,,,70
GP009,"Ikan cakalang asin,
mentah",KZGPI- 1990,41.7,198,36.5,2.2,5.5,0,14.1,236,346,3.7,4304,302.1,,,0,,0,0.06,,,0,70
GP010,"Ikan calo/ peda,
mentah",KZGPI- 1990,71.3,81,11.4,1.9,3.8,0,11.6,743,174,22.6,,,,,15,,0,0,,,0,100
GP011,"Ikan Gabus asap,
mentah",KZGMI-2001,26.4,261,38.1,2.3,21.9,0,11.3,2510,1840,2.9,320,410,0.4,0.8,114,,,0.1,0.1,14.5,,80
GP012,"Ikan Gabus, kering",DABM- 1964,24,268,58,4,0,0,14,15,100,0.1,,,,,30,,,0.1,,,0,80
GP013,"Ikan gete, goreng",KZGMI-2001,44.7,267,23.1,19.4,0.2,,12.6,2340,1240,0.8,590,440,0.1,1.9,,,,,,0.2,,
GP014,"Ikan hiu, kering",KZGMI-2001,23.1,298,46.3,3.6,20.2,,6.8,335,846,2.5,957,1457,0.5,2,661,,,0.84,0.11,22.5,,
GP015,"Ikan katombo, asin",KZGPI- 1990,44.7,162,31.7,2.8,0.3,0,15.5,279,609,4.6,4393,342.2,2.8,,0,,0,0.09,,,0,70
GP016,"Ikan kayu, kering",KZGMI-2001,23.1,302,70.7,1.9,0.4,0,3.9,313,22,4.1,345,1045,,1.8,,,,1.4,0.04,20,,
GP017,Ikan Lais bakar,KZGMI-2001,69.4,147,17.5,6.5,5.4,,1.2,54,194,0.1,142,209,,0.5,,,,,,,,
GP018,"Ikan lomak asin,
mentah",KZGMI-2001,21.6,258,40.3,2.3,18.9,0,16.9,140,279,2.3,6227,485.1,2.3,,,,,0.1,0.3,6,,
GP019,Ikan Mas pepes,KZGPI- 1990,57.5,209,15.2,11.3,11.8,0.5,4.3,686,530,6.1,74,276.7,0.1,1.9,3,,315,0.13,0.1,2.4,0,100
GP020,Ikan mujahir goreng,KZGPI- 1990,44.7,416,46.9,23.9,0,0,2.2,346,654,0.9,54,278.9,0,0.2,12,3,8,0.12,0.1,2.2,0,100
GP021,Ikan Mujahir pepes,KZGPI- 1990,73.7,121,21.7,2.8,0.8,0,1,83,248,1.6,58,265.8,0,0.3,8,,6,0,0.1,1.9,0,100
GP022,"Ikan mujahir,
dendeng, mentah",KZGPI- 1990,15.2,582,68.3,15.2,37.2,0,14.1,3258,1699,4.3,,,,,15,,20,0.27,,,0,100
GP023,"Ikan Papuyu, bakar",KZGMI-2001,66.6,152,17.6,6.1,6.7,0,3,244,227,3.4,320,224,0.2,1,,,,,,,,
GP024,"Ikan Patin, bakar",KZGMI-2001,70.3,144,17.5,6.3,4.3,,1.6,191,232,1.4,379,230,0.1,0.7,,,,,,,,
GP025,"Ikan peda banjar,
mentah",DABM- 1964,46,156,28,4,2,0,20,174,316,3.1,59,368.8,0,0.5,33,4,,0.1,0.1,4.7,,90
GP026,"Ikan pepetek, mentah","DABM-
60/64",33,176,32,4.4,2,0,28.6,120,200,1,79,1,,,15,,,0.05,0.1,2.4,0,
GP027,"Ikan Pindang banjar,
mentah",DABM- 60/64,59,157,28,4.2,1.8,0,7,50,100,1,,,,,45,,,0.1,,,0,
GP028,"Ikan Pindang benggol,
mentah",DABM- 60/64,57,170,31,4.2,0,0,7.8,50,100,1,,,,,45,,,0.1,,,0,
GP029,"Ikan Pindang layang,
mentah",DABM- 60/64,60,153,30,2.8,0,0,7.2,60,200,3,,,,,61,,,0.07,,,0,
GP030,"Ikan Pindang selar,
mentah",DABM- 60/64,60,142,27,3,0,0,10,60,200,3,,,,,61,,,0.07,,,0,
GP031,"Ikan sale, mentah",BKP,8.5,534,40.2,39.3,4.9,2,7.1,199,1244,2.7,673,673,0.3,2.6,,410,0,0.02,0.5,0,0,100
GP032,"Ikan sale lais, mentah",KZGPI- 1990,12.4,415,61.3,17.6,2.9,0,5.8,258,919,7,381,488,17.6,1,0,,0,0.03,0.1,17.3,0,
GP033,"Ikan saluang, kering,
mentah",KZGMI-2001,33.6,284,34.1,9.9,14.6,0,7.8,1426,1103,9.5,1767,263,1.3,18.7,,,,0.49,0.03,,,
GP034,"Ikan sanggang,
masakan",KZGMI-2001,42.6,240,21.7,7.7,20.7,,7.3,159,362,9.8,2041,159,1.5,8.8,,,,0.51,0.02,,,
GP035,"Ikan selar kuning, cue,
mentah",DABM- 1964,59,138,27,3.3,0,0,0.7,50,100,2,,,,,45,,,0.1,,,0,90
GP036,"Ikan selar, kering,
mentah",DABM- 60/64,43,194,38,3.5,0,0,15.5,20,200,1,,,,,0,0,,0.01,,,0,
GP037,"Ikan sepat, kering,
mentah",DABM- 60/64,30,289,38,14,0,0,18,40,100,0.7,,,,,0,0,,0,,,0,
GP038,"Ikan sunu, asin,
mentah",KZGMI-2001,34.7,199,34.1,3.8,7.1,,20.3,94,92,2.2,377,57,0.1,3.2,2481,,,1.5,0.13,7.2,,
GP039,"Ikan, tepung, mentah",KZGPI- 1990,4.3,316,60.1,6.5,22.4,0,6.7,3196,1976,16.6,,,,,320,0,0,0,,,0,
GP040,"Ikan Teri nasi, kering,
mentah",DABM- 60/64,34.5,144,32.5,0.6,0,0,32.4,1000,1000,3,312,,,,61,,,0.1,,,0,
GP041,"Ikan Teri, bubuk,
mentah",DABM- 60/64,15,277,60,2.3,1.8,0,20.9,1209,1225,3,,,,,90,,,0.1,,,0,
GP042,"Ikan teri, kering,
mentah",DABM- 60/64,37.8,170,33.4,3,0,0,25.8,1200,1500,3.6,,,,,64,,,0.15,,,0,
GP043,"Ikan Teri, kering,
tawar, mentah",DABM- 60/64,16.7,331,68.7,4.2,0,0,10.4,2381,1500,23.4,,,,,61,,,0.1,,,0,
GP044,"Ikan Teri, tepung,
mentah",KZGPI- 1990,5.2,347,48.8,6.4,19.6,0,20,4608,1200,18.6,,,,,61,0,130,1.12,,,0,
GP045,"Kerang, asap, mentah",KZGMI-2001,9.3,393,38.9,13.3,29.4,,9.1,420,410,8.5,160,50,0.6,3.7,,,,0.3,1.7,0.2,,100
GP046,"Kerang, dendeng,
mentah",KZGPI- 1990,18.3,357,41.1,10,25.6,0,5,217,904,5.2,,,,,0,,329,0.27,,,0,100
GP047,"Rebon, kering, mentah","DABM-
60/64",21.6,299,59.4,3.6,3.2,0,12.2,2306,625,21.4,,,,,0,0,,0.06,,,0,
GP048,"Rebung laut, mentah",KZGMI-2001,18.2,320,7.2,4.2,63.3,,7.1,240,570,6.6,20,1040,1.5,6.2,917,,,0,0,4.9,,
GP049,Sardines dalam kaleng,"DABM-
60/64",47.1,338,21.1,27,1,0,3.8,354,434,3.5,,,,,76,0,,0.1,,,0,
GP050,"Teripang, dendeng,
mentah",KZGPI- 1990,12.5,462,39.1,32.4,3.5,0,12.5,499,616,96.4,315,402.5,,,2,0,144,1.37,0,5.3,0,100
GP051,"Udang kering, mentah",KZGMI-2001,14.9,278,62.6,4.1,2.2,,16.2,760,510,5.2,540,360,2.4,3.2,39,,,,,0.1,,
GP052,"Udang papay, mentah",KZGMI-2001,24.5,273,47.8,3.8,12.5,,11.5,1109,789,2.4,651,802,2.6,10.8,,,,,,,,
