,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
357,FP016,"Sapi, daging, sosis
(Worst)",DABM-1964,daging dan unggas,processed food,37.6,448.0,14.5,42.3,2.3,,3.3,28.0,61.0,1.1,765.0,284.5,0.06,1.7,0.0,,,0.1,0.18,4.9,0.0,100.0
358,FP017,"Sapi, hati, sosis
(liverworst)",DABM-1964,daging dan unggas,processed food,56.6,274.0,16.0,22.0,3.0,2.3,2.4,20.0,150.0,4.0,654.0,158.8,0.22,2.2,1201.0,,,0.2,0.96,4,0.0,100.0
359,FP018,"Sapi, paru, dendeng,
mentah",KZGMI-2001,daging dan unggas,processed food,9.7,360.0,57.3,6.0,19.2,,7.8,126.0,903.0,21.1,1483.0,864.0,1.2,6.1,2827.0,,,,,,,100.0
360,FP019,"Sapi, paru, goreng","KZGMS-
1993",daging dan unggas,processed food,45.5,268.0,23.9,12.7,14.5,,3.1,102.0,315.0,8.8,923.0,299.0,0.0,1.5,790.0,,,,,,,100.0
361,FP020,"Ulat sagu, panggang",KZGMI-2001,daging dan unggas,processed food,41.3,380.0,11.9,30.3,14.9,4.8,1.6,30.0,120.0,1.5,260.0,550.0,3.1,14.2,,0.0,,0.5,2.5,0.1,,100.0
362,FP021,"Ayam goreng church
texas, dada",KZGPI- 1990,daging dan unggas,processed food,42.2,338.0,35.2,20.6,0.4,0.0,1.5,79.0,221.0,5.6,800.0,369.5,0.16,1.1,16.0,,80.0,0.52,0.16,12.1,0.0,100.0
363,FP022,"Ayam goreng
church,texas paha",KZGPI- 1990,daging dan unggas,processed food,50.3,287.0,31.0,15.7,1.7,0.0,1.3,99.0,176.0,4.1,723.0,257.0,0.17,1.5,22.0,,30.0,0.66,0.2,5.3,0.0,100.0
364,FP023,"Ayam goreng church
texas, sayap",KZGPI- 1990,daging dan unggas,processed food,47.2,295.0,34.0,16.0,1.5,0.0,1.3,81.0,179.0,3.0,771.0,237.2,0.16,1.2,13.0,,50.0,0.44,0.13,6.2,0.0,100.0
365,FP024,"Ayam goreng kalasan,
paha",KZGPI- 1990,daging dan unggas,processed food,46.2,275.0,37.4,12.2,1.3,0.0,2.9,116.0,237.0,5.8,176.0,321.9,0.16,1.5,10.0,0.0,50.0,0.1,,,0.0,100.0
366,FP025,"Ayam goreng
kentucky, dada",KZGPI- 1990,daging dan unggas,processed food,46.5,298.0,34.2,16.8,0.1,0.0,2.5,90.0,284.0,5.5,741.0,342.0,0.07,1.0,36.0,,50.0,0.19,0.0,0,0.0,100.0
367,FP026,"Ayam goreng
Kentucky, paha",KZGPI- 1990,daging dan unggas,processed food,48.7,286.0,32.1,16.1,1.1,0.0,2.0,89.0,248.0,6.9,746.0,265.2,0.09,2.3,31.0,,20.0,0.5,0.21,5.5,0.0,100.0
368,FP027,"Ayam  goreng
Kentucky,sayap",KZGPI- 1990,daging dan unggas,processed food,44.7,297.0,35.9,15.2,1.6,0.0,2.6,103.0,227.0,4.4,807.0,248.4,0.06,1.4,22.0,,70.0,0.73,0.14,6.5,0.0,100.0
369,FP028,"Ayam goreng mbok
berek dada",KZGPI- 1990,daging dan unggas,processed food,43.4,295.0,39.2,13.6,1.0,0.0,2.8,114.0,278.0,5.4,,,,,8.0,,50.0,0.19,,,0.0,100.0
370,FP029,"Ayam goreng
pasundan, dada",KZGPI-1990,daging dan unggas,processed food,50.1,246.0,37.9,9.0,0.7,0.0,2.3,90.0,260.0,7.5,,,,,6.0,,70.0,0.16,,0,,100.0
371,FP030,"Ayam goreng
pasundan, paha",KZGPI-1990,daging dan unggas,processed food,52.8,245.0,33.1,11.4,0.3,0.0,2.5,90.0,283.0,7.3,,,,,8.0,,40.0,0.37,,0,,100.0
372,FP031,"Ayam goreng pioneer,
dada",KZGPI-1990,daging dan unggas,processed food,44.5,295.0,37.4,14.7,0.6,0.0,2.7,108.0,236.0,6.8,,,,,16.0,,80.0,0.1,,0,,100.0
373,FP032,"Ayam goreng
sukabumi, dada",KZGPI-1990,daging dan unggas,processed food,49.8,244.0,36.7,9.2,1.0,0.0,3.4,81.0,154.0,6.1,,,,,20.0,,80.0,0.66,,0,,100.0
374,FP033,"Ayam goreng
sukabumi, paha",KZGPI-1990,daging dan unggas,processed food,46.0,283.0,35.7,14.3,0.5,0.0,3.6,68.0,106.0,5.4,,,,,11.0,,60.0,0.36,,0,,100.0
375,FP034,"Ayam taliwang,
masakan",KZGMI-2001,daging dan unggas,processed food,57.5,264.0,18.2,20.1,2.7,,1.5,94.0,164.0,2.0,507.0,408.0,0.4,12.3,1067.0,,,,,,,100.0
376,FP035,"Babi hutan masak rica,
masakan",KZGMI-2001,daging dan unggas,processed food,56.2,491.0,24.6,16.3,0.2,,2.7,18.0,144.0,1.2,1415.0,327.0,0.2,2.6,2193.0,,,0.61,0.47,,0.0,100.0
377,FP036,Beef burger,"KZGMS-
1993",daging dan unggas,processed food,45.5,258.0,10.6,9.5,32.5,0.4,2.2,210.0,157.0,2.6,572.0,189.1,,,218.0,,7580.0,0.95,,,0.0,100.0
378,FP037,"Beef teriyaki, masakan","KZGMS-
1993",daging dan unggas,processed food,65.1,151.0,8.6,3.1,22.3,0.3,0.9,142.0,62.0,2.3,377.0,,,,22.0,,400.0,0.53,,,0.0,100.0
379,FP038,"Beef yakiniku,
masakan",KZGMS- 1993,daging dan unggas,processed food,67.7,132.0,9.8,1.1,20.7,0.3,0.8,302.0,67.0,2.0,409.0,,,,78.0,,700.0,0.62,,,0.0,100.0
380,FP039,Brongkos,KZGPI-1990,daging dan unggas,processed food,76.4,141.0,15.3,3.3,12.6,1.0,2.4,87.0,97.0,5.1,,,,,4.0,,356.0,0.4,,,0.0,100.0
381,FP040,"Bulgogi, masakan","KZGMS-
1993",daging dan unggas,processed food,84.2,72.0,11.4,4.9,1.4,1.7,0.7,214.0,86.0,2.5,509.0,,,,17.0,,,1.08,,,0.0,100.0
382,FP041,"Chicken teriyaki,
masakan",KZGMS- 1993,daging dan unggas,processed food,68.2,168.0,13.0,9.6,7.5,0.8,1.7,137.0,106.0,3.1,959.0,,,,68.0,,2200.0,0.65,,,0.0,100.0
383,FP042,"Chikiniku, masakan","KZGMS-
1993",daging dan unggas,processed food,65.4,143.0,9.8,1.4,22.8,0.4,0.6,301.0,63.0,2.0,531.0,,,,27.0,,1280.0,0.73,,,0.0,100.0
384,FP043,"Coto mangkasara,
kuda, masakan",KZGMI-2001,daging dan unggas,processed food,83.5,96.0,6.8,5.9,3.8,,0.9,11.0,106.0,2.3,96.0,31.0,0.1,1.0,,,,0.23,0.14,4.2,,100.0
385,FP044,"Coto mangkasara,
sapi, masakan",KZGMI-2001,daging dan unggas,processed food,85.9,84.0,6.0,6.0,1.4,,0.7,8.0,104.0,4.0,90.0,25.0,0.3,0.6,,,,0.16,0.14,"10.3
0",,100.0
386,FP045,"Djibokum, masakan","KZGMS-
1993",daging dan unggas,processed food,43.4,248.0,10.0,2.3,40.9,0.1,3.4,116.0,110.0,2.8,401.0,,,,52.0,,1920.0,0.75,,,0.0,100.0
387,FP046,"Empal (daging)
Goreng, masakan",KZGMS- 1993,daging dan unggas,processed food,43.9,248.0,36.2,6.9,10.1,,2.0,131.0,235.0,6.4,848.0,,,,112.0,,620.0,0.55,,,0.0,100.0
388,FP047,Gulai kambing,KZGMI-2001,daging dan unggas,processed food,78.4,126.0,4.2,9.4,6.2,,1.8,45.0,73.0,1.3,302.0,138.0,0.2,1.1,151.0,,,0.13,0.01,,,100.0
389,FP048,"Jangang bintatoeng,
masakan",KZGMI-2001,daging dan unggas,processed food,73.6,107.0,5.3,2.2,16.5,,2.4,64.0,61.0,2.5,482.0,406.0,0.2,0.8,,,,0.18,0.02,3.4,,100.0
390,FP049,"Kalio ayam, masakan","KZGMS-
1993",daging dan unggas,processed food,64.7,203.0,16.0,13.5,4.4,,1.4,278.0,177.0,4.2,534.0,,,,105.0,,3780.0,0.35,,,0.0,100.0
391,FP050,"Kalio jeroan, masakan","KZGMS-
1993",daging dan unggas,processed food,68.9,163.0,16.5,9.0,4.1,,1.5,102.0,268.0,7.1,570.0,,,,298.0,,1960.0,0.7,,,0.0,100.0
392,FP051,"Kalio kikil (tunjang),
masakan",KZGMS- 1993,daging dan unggas,processed food,75.3,122.0,13.8,5.7,3.9,,1.3,154.0,59.0,3.4,519.0,,,,36.0,,1440.0,0.38,,,0.0,100.0
393,FP052,"Kalio otak, masakan","KZGMS-
1993",daging dan unggas,processed food,70.3,157.0,8.1,8.8,11.4,,1.4,212.0,69.0,3.3,604.0,,,,32.0,,1040.0,0.45,,,0.0,100.0
394,FP053,"Lawar babi, masakan",KZGPI-1990,daging dan unggas,processed food,68.8,174.0,17.0,10.0,3.0,0.0,1.2,61.0,141.0,3.0,,,,0.0,,0.0,,0.1,,0,,100.0
395,FP054,"Lawar penyu, masakan",KZGPI-1990,daging dan unggas,processed food,66.3,141.0,23.0,1.5,7.6,0.0,1.6,69.0,141.0,6.0,,,,0.0,,0.0,,0.1,,0,,100.0
396,FP055,"Lawara jangang,
masakan",KZGMI-2001,daging dan unggas,processed food,72.4,159.0,5.0,10.9,10.1,,1.6,57.0,107.0,1.5,400.0,2368.0,0.1,1.0,14.0,,,0.25,0.16,,,100.0
397,FP056,"Naan maran sapi,
masakan",KZGMI-2001,daging dan unggas,processed food,14.8,478.0,38.3,33.9,5.1,,7.9,30.0,390.0,11.8,220.0,320.0,0.6,3.9,33.0,,,,,0.2,,100.0
398,FP057,"Nasu likku, masakan",KZGMI-2001,daging dan unggas,processed food,59.0,196.0,14.5,8.3,15.9,,2.3,69.0,157.0,1.0,386.0,470.0,0.3,2.0,,,,0.2,0.24,1.5,,100.0
399,FP058,"Oramu ninahu ndawa
olaho, masakan",KZGMI-2001,daging dan unggas,processed food,74.9,117.0,13.7,5.0,4.3,,0.1,964.0,804.0,2.0,,727.0,0.3,1.5,4095.0,,,0.77,0.04,1.7,,100.0
400,FP059,"Paniki masak santan,
masakan",KZGMI-2001,daging dan unggas,processed food,25.4,460.0,28.5,35.2,7.2,,3.7,188.0,357.0,5.5,2002.0,532.0,0.4,2.5,954.0,,,0.27,0.19,,,100.0
401,FP060,"Pelolah manuk,
masakan",KZGMI-2001,daging dan unggas,processed food,60.0,219.0,19.7,13.6,4.4,,2.3,33.0,160.0,1.6,577.0,,,,137.0,,1940.0,0.42,,,0.0,100.0
402,FP061,"Rawon, masakan",KZGPI-1990,daging dan unggas,processed food,86.0,60.0,5.4,2.5,4.0,,2.1,272.0,153.0,3.3,,,,,10.0,,1235.0,0.09,,,0.0,100.0
403,FP062,"Rendang sapi,
masakan",KZGPI-1990,daging dan unggas,processed food,57.9,193.0,22.6,7.9,7.8,0.0,3.8,474.0,211.0,14.9,,,,,21.0,,534.0,0.12,,0,,100.0
404,FP063,"RW, anjing, masakan",KZGMI-2001,daging dan unggas,processed food,60.8,198.0,24.6,10.7,0.9,,3.0,1071.0,876.0,4.0,1604.0,226.0,0.1,2.8,256.0,,,0.35,0.2,,,100.0
405,FP064,"Sate, penyu, masakan",KZGPI-1990,daging dan unggas,processed food,57.4,179.0,22.5,3.5,13.3,0.0,3.3,187.0,238.0,14.4,,,,0.0,,0.0,,0.1,,0,,100.0
406,FP065,"Sate pusut, masakan",KZGMI-2001,daging dan unggas,processed food,52.1,274.0,12.9,18.6,13.6,,2.8,63.0,190.0,2.7,609.0,,,,133.0,0.0,,0.06,,0,,100.0
407,FP066,"Penyu, serapah,
masakan",KZGPI-1990,daging dan unggas,processed food,71.3,174.0,13.1,12.2,2.2,0.0,1.2,72.0,186.0,9.5,,507.0,0.8,2.4,1302.0,,,,,,,100.0
408,FP067,"Sie reuboh, masakan",KZGMI-2001,daging dan unggas,processed food,32.4,474.0,11.2,42.5,11.7,,2.2,26.0,62.0,1.3,677.0,176.0,2.4,3.2,141.0,9.0,,0.46,0.26,,,100.0
409,FP068,"Sop buntut, masakan","KZGMS-
1993",daging dan unggas,processed food,86.1,71.0,7.5,3.6,2.2,,0.6,286.0,38.0,3.2,490.0,,,,119.0,,2900.0,0.14,,,0.0,100.0
410,FP069,"Sop daging sapi,
masakan",KZGMS- 1993,daging dan unggas,processed food,87.5,49.0,5.8,0.5,5.3,,0.9,158.0,48.0,2.2,391.0,,,,101.0,,3320.0,0.37,,,0.0,100.0
411,FP070,"Sop kaki sapi,
masakan",KZGMS- 1993,daging dan unggas,processed food,84.5,68.0,9.0,1.9,3.7,,0.9,302.0,15.0,2.2,435.0,,,,48.0,,150.0,0.46,,,0.0,100.0
412,FP071,"Sop kambing,
masakan",KZGMS- 1993,daging dan unggas,processed food,91.6,34.0,5.5,0.8,1.1,,1.0,145.0,37.0,1.6,348.0,,,,48.0,,80.0,0.57,,,0.0,100.0
413,FP072,"Sop konro, masakan",KZGMI-2001,daging dan unggas,processed food,85.0,71.0,7.4,2.6,4.5,,0.5,17.0,60.0,4.6,184.0,25.0,0.3,1.3,,,,0.12,0.02,"10.9
0",0.0,100.0
414,FP073,"Sop saudara, masakan",KZGMI-2001,daging dan unggas,processed food,82.4,89.0,7.2,5.0,3.9,,1.5,10.0,174.0,9.0,274.0,50.0,0.2,1.1,,,,0.09,0.12,2,0.0,100.0
415,FP074,"Soto bandung,
masakan",KZGPI-1990,daging dan unggas,processed food,89.9,42.0,3.9,1.7,2.8,0.4,1.8,74.0,75.0,1.8,,,,,6.0,20.0,0.0,,,0,0.0,100.0
416,FP075,"Soto banjar, masakan",KZGMI-2001,daging dan unggas,processed food,83.7,110.0,2.9,9.5,3.2,,0.7,28.0,28.0,0.3,36.0,6.0,0.0,0.2,12.0,,770.0,0.05,,,0.0,100.0
417,FP076,"Soto betawi, masakan",KZGPI-1990,daging dan unggas,processed food,75.9,135.0,2.5,8.8,11.5,0.5,1.3,222.0,72.0,1.9,,,,,6.0,,336.0,0.04,,0,0.0,100.0
418,FP077,"Soto jeroan, masakan","KZGMS-
1993",daging dan unggas,processed food,81.4,92.0,11.8,4.3,1.4,,1.1,218.0,48.0,1.9,363.0,,,,85.0,,440.0,0.36,,,0.0,100.0
419,FP078,"Soto kudus, masakan",KZGPI-1990,daging dan unggas,processed food,91.6,38.0,2.6,2.3,1.8,0.2,1.7,237.0,67.0,1.7,,,,,23.0,,128.0,0.06,,0.5,0.0,100.0
420,FP079,"Soto madura,
masakan",KZGPI-1990,daging dan unggas,processed food,89.8,60.0,3.5,4.5,1.3,0.0,0.9,361.0,126.0,3.8,,,,,26.0,,121.0,0.06,,0,0.0,100.0
421,FP080,"Soto padang, masakan",KZGPI-1990,daging dan unggas,processed food,75.0,127.0,5.9,6.6,11.0,0.7,2.0,298.0,94.0,1.5,,,,,12.0,,204.0,0.22,,0,0.0,100.0
422,FP081,"Soto pekalongan,
masakan",KZGPI-1990,daging dan unggas,processed food,83.8,94.0,3.0,6.8,5.1,0.3,1.3,322.0,79.0,2.0,,,,,14.0,,119.0,0.29,,0,0.0,100.0
423,FP082,"Soto pemalang,
masakan",KZGPI-1990,daging dan unggas,processed food,86.0,75.0,3.6,5.2,3.5,0.0,1.7,170.0,80.0,2.1,,,,,16.0,,30.0,0.13,,0,0.0,100.0
424,FP083,"Soto sukaraja,
masakan",KZGPI-1990,daging dan unggas,processed food,75.9,80.0,3.2,3.5,9.0,0.3,1.1,347.0,77.0,2.3,,,,,12.0,,89.0,0.04,,0,0.0,100.0
425,FP084,"Soto sulung, masakan",KZGPI-1990,daging dan unggas,processed food,88.1,86.0,2.3,8.5,0.0,0.0,1.1,200.0,120.0,2.9,,,,,20.0,,105.0,0.08,,0,0.0,100.0
426,FP085,"Sukiyaki, masakan","KZGMS-
1993",daging dan unggas,processed food,81.0,75.0,5.6,0.4,12.2,0.2,0.8,109.0,59.0,0.5,426.0,,,,41.0,,1200.0,0.37,,,0.0,100.0
427,FP086,"Tedong pallu basa,
masakan",KZGMI-2001,daging dan unggas,processed food,81.7,83.0,10.4,3.4,2.8,,1.7,10.0,139.0,2.6,397.0,34.0,0.6,1.3,,,,0.09,0.53,9,0.0,100.0
428,FP087,"Tikus rica, masakan",KZGMI-2001,daging dan unggas,processed food,54.9,257.0,18.8,18.5,3.8,,4.0,232.0,293.0,6.5,1724.0,308.0,0.5,2.3,674.0,,,0.28,0.38,,,100.0
429,FP088,"Tinoransa, masakan",KZGMI-2001,daging dan unggas,processed food,31.6,516.0,17.7,49.5,0.0,,1.2,698.0,648.0,3.5,1307.0,320.0,0.1,1.8,710.0,,,0.29,0.17,,,100.0
430,TUNGGAL/SINGLE,,,lemak minyak,single,,,,,,,,,,,,,,,,,,,,,,
431,KR001,"Kelapa setengah tua,
daging, segar",DABM-1964,lemak minyak,single,70.0,180.0,4.0,15.0,10.0,2.4,1.0,8.0,55.0,1.3,4.0,317.7,0.3,2.9,,0.0,10.0,0.1,0.01,0.1,4.0,53.0
432,KR002,"Kelapa tua, daging,
segar",DABM-1964,lemak minyak,single,46.9,359.0,3.4,34.7,14.0,4.7,1.0,21.0,98.0,2.0,3.0,293.9,0.4,1.1,0.0,0.0,,0.1,0.0,0.0,2.0,53.0
433,KR003,Lemak babi (lard),DABM-1964,lemak minyak,single,0.0,902.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.1,0.0,0.0,,0.0,0.0,0.0,0.0,100.0
434,KR004,Lemak babi (bacon),DABM-1964,lemak minyak,single,20.0,626.0,9.1,65.0,1.1,0.0,4.8,13.0,108.0,0.8,0.0,0.0,0.0,0.9,0.0,0.0,,0.4,0.0,0.0,0.0,100.0
435,KR005,Lemak ikan,KZGMI-2001,lemak minyak,single,43.3,372.0,12.0,29.4,14.4,0.0,0.3,20.0,230.0,32.7,60.0,52.0,0.4,1.1,,,,0.5,0.13,,,100.0
436,KR006,"Lemak kerbau (lemak
sapi)",DABM-1964,lemak minyak,single,5.0,818.0,1.5,90.0,0.0,0.0,3.5,0.0,0.0,0.0,29.0,25.8,0.0,0.0,0.0,283.0,,0.0,0.0,0.7,0.0,100.0
437,KR007,"Minyak hiu, hati",DABM-1964,lemak minyak,single,0.0,902.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21212.0,0.0,,0.0,0.0,0.0,0.0,100.0
438,KR008,Minyak ikan,DABM-1964,lemak minyak,single,0.0,902.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24242.0,0.0,,0.0,0.0,0.0,0.0,100.0
439,KR009,Minyak kacang tanah,DABM-1964,lemak minyak,single,0.0,902.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,100.0
440,KR010,Minyak kedelai,FCTEA-1972,lemak minyak,single,0.1,883.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,100.0
441,KR011,Minyak kelapa,DABM-1964,lemak minyak,single,0.0,870.0,1.0,98.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,100.0
442,KR012,Minyak kelapa sawit,DABM-1964,lemak minyak,single,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18181.0,,0.0,0.0,0.0,0.0,100.0
443,KR013,Minyak wijen,FCTEA-1972,lemak minyak,single,0.1,881.0,0.2,99.7,0.0,0.0,0.0,10.0,5.0,0.1,2.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.07,0.1,0.0,100.0
444,KR014,Minyak zaitun,DABM- 1964,lemak minyak,single,0.0,884.0,0.0,100.0,0.0,0.0,0.0,14.0,0.0,1.2,7.0,0.0,0.0,0.0,,0.0,,0.0,0.0,5.0,,100.0
445,OLAHAN/PRODUK/KOMPOSIT,,,lemak minyak,processed food,,,,,,,,,,,,,,,,,,,,,,
446,KP001,Margarin,DABM-1964,lemak minyak,processed food,15.5,720.0,0.6,81.0,0.4,0.0,2.5,20.0,16.0,0.0,760.0,25.9,0.0,0.0,606.0,633.0,,0.0,0.0,0.0,0.0,100.0
447,KP002,Mentega,DABM- 1964,lemak minyak,processed food,16.0,742.0,0.5,81.6,1.4,0.0,1.9,15.0,16.0,1.1,653.0,103.0,0.0,0.4,1000.0,155.0,,0.0,0.1,0.0,,100.0
448,KP003,Santan (dengan air),DABM-1964,lemak minyak,processed food,80.0,122.0,2.0,10.0,7.6,1.4,0.4,25.0,30.0,0.1,9.0,162.4,0.2,0.4,0.0,,,0.0,0.0,0.5,2.0,100.0
449,KP004,Santan murni,DABM-1964,lemak minyak,processed food,54.9,324.0,4.2,34.3,5.6,0.0,1.0,14.0,45.0,1.9,18.0,514.1,0.4,0.9,0.0,0.0,,0.0,0.0,0.5,2.0,100.0
450,QR001,"Kelapa muda, air,
segar",DABM-1964,minuman,single,95.5,17.0,0.2,0.1,3.8,0.0,0.4,15.0,8.0,0.2,1,149,0.04,0.1,0.0,0,,0,0,0,1,100.0
451,MP001,"Coklat manis, batang",DABM- 1964,produk gula,single,1.4,527.0,2.0,29.8,62.7,6.5,4.1,63.0,287.0,2.8,6.0,499.5,0.0,0,,,30.0,0.03,0.02,0,0,100.0
452,MP002,"Coklat pahit,batang",DABM- 1964,produk gula,single,2.3,615.0,5.5,42.6,29.2,10.8,10.1,98.0,446.0,4.4,20.0,708.3,1.7,3.3,,2.0,60.0,0.05,0.08,1,0,100.0
453,MP003,"Coklat susu, batang",DABM- 1964,produk gula,single,1.0,565.0,9.0,35.0,53.6,3.4,1.4,200.0,200.0,2.0,100.0,405.5,0.49,2.3,,54.0,30.0,0.08,0.45,0.5,0,100.0
454,MP004,Coklat bubuk,DABM- 1964,produk gula,single,3.9,311.0,8.0,4.0,48.9,32.6,15.4,125.0,715.0,11.6,,,,,,,30.0,0.12,,0.6,,
455,MP005,Gula aren,DABM- 1964,produk gula,single,7.0,368.0,0.0,0.0,92.0,0.0,1.0,75.0,35.0,3.0,15.0,390.4,0.04,"26.
4",0.0,0.0,,0.0,0.01,0.5,0,100.0
456,MP006,Gula kelapa,DABM- 1964,produk gula,single,10.0,386.0,3.0,10.0,76.0,0.0,1.0,76.0,37.0,2.6,2.0,0.0,0.0,0,0.0,0.0,,0.0,0.34,0.5,0,100.0
457,MP007,Gula putih,DABM- 1964,produk gula,single,5.4,394.0,0.0,0.0,94.0,0.0,0.6,5.0,1.0,0.1,1.0,4.75,0.0,0,0.0,0.0,,0.0,0.0,0,0,100.0
458,MP008,"Jam, selai",DABM- 1964,produk gula,single,34.0,239.0,0.5,0.6,64.5,1.0,0.4,20.0,20.0,1.0,30.0,73.1,0.09,0,0.0,0.0,,0.01,0.07,0,0,100.0
459,MP009,Kopi bubuk instant,FCTEA-1972,produk gula,single,2.6,129.0,12.3,0.5,35.0,0.0,9.7,179.0,383.0,5.6,72.0,3256.0,0.14,0,,0.0,0.0,0.0,0.21,"30.
6",0,100.0
460,MP010,Madu,DABM- 1964,produk gula,single,20.0,294.0,0.3,0.0,79.5,0.2,0.2,5.0,16.0,0.9,6.0,26.9,0.04,0.2,0.0,0.0,,0.0,0.04,0.1,4,100.0
461,MP011,Markisa squash,KZGMI-2001,produk gula,single,46.7,217.0,2.5,1.0,49.6,,0.2,6.0,83.0,0.6,14.0,65.0,0.0,0.1,,23.0,75.0,0.07,0.02,0,14,
462,MP012,"Markisa squash, BD",KZGMI-2001,produk gula,single,74.4,104.0,1.2,0.5,23.7,,0.2,1.0,88.0,0.5,40.0,40.0,0.0,0.1,,7.0,40.0,0.2,0.02,0,12,
463,MP013,Melase,DABM- 1964,produk gula,single,21.2,276.0,,0.1,71.0,0.0,7.7,6.0,83.0,0.6,14.0,,0.0,0.3,0.0,0.0,,0.04,,,0,100.0
464,MP014,Sirup,DABM- 1964,produk gula,single,44.0,213.0,0.0,0.0,55.0,0.0,1.0,0.0,0.0,0.0,3.0,4.2,,,,0.0,,0.0,0.0,0,,100.0
465,MP015,Sirup pirous,KZGMI-2001,produk gula,single,43.3,228.0,0.2,0.4,55.9,0.0,0.2,470.0,93.0,29.5,3.0,4.2,,,,0.0,0.0,0.0,0.0,0,8,
466,MP016,Teh hijau daun kering,FCTEA-1972,produk gula,single,7.7,300.0,28.3,4.8,53.6,9.6,5.6,245.0,415.0,18.9,60.0,5873.9,0.5,0,,8400.0,,0.38,1.24,4.6,"23
0",100.0
467,MP017,Teh hitam daun kering,FCTEA-1972,produk gula,single,8.0,293.0,24.5,2.8,58.8,8.7,5.9,327.0,313.0,24.3,50.0,5854.8,0.0,0,0.0,2700.0,,0.07,0.8,7.6,9,100.0
468,MP018,"Teh melati daun
kering",FCTEA-1972,produk gula,single,8.1,299.0,24.1,3.5,59.0,9.7,5.3,320.0,185.0,31.6,70.0,5848.4,0.53,0,0.0,8400.0,,0.07,0.79,7.3,85,100.0
469,TUNGGAL/SINGLE,,,prooduk laut,single,,,,,,,,,,,,,,,,,,,,,,
470,GR001,"Belut, segar",KZGMI-2001,prooduk laut,single,81.5,70.0,14.6,0.8,1.0,0.0,2.1,49.0,155.0,1.5,55.0,169.0,0.2,1.2,,0.0,,0.22,0.12,7.7,,
471,GR002,"Belut,laut, segar",KZGPI- 1990,prooduk laut,single,79.5,93.0,12.8,1.5,6.1,0.0,4.1,60.0,199.0,3.0,33.0,175.9,0.1,1.0,51.0,3.0,71.0,0.06,0.0,2.7,,
472,GR003,"Cumi-cumi, segar",KZGPI- 1990,prooduk laut,single,82.2,75.0,16.1,0.7,0.1,0.0,0.9,32.0,200.0,1.8,37.0,204.1,1.6,1.3,0.0,20.0,0.0,0.08,0.0,2.5,0.0,
473,GR004,"Ikan bader, segar",DABM- 1964,prooduk laut,single,66.0,193.0,19.0,13.0,0.0,0.0,2.0,48.0,150.0,0.4,118.0,264.9,0.1,0.2,45.0,0.0,,0.01,0.1,4.1,0.0,
474,GR005,"Ikan balong, segar",KZGPI- 1990,prooduk laut,single,76.5,107.0,16.5,3.9,1.5,0.0,1.5,54.0,202.0,2.0,86.0,253.4,0.5,1.0,25.0,0.0,0.0,0.05,0.1,2.5,0.0,
475,GR006,"Ikan bambangan,
segar",KZGPI- 1990,prooduk laut,single,73.7,112.0,20.0,1.3,3.7,0.0,1.3,98.0,120.0,3.0,148.0,258.7,0.0,0.1,0.0,0.0,0.0,0.07,0.0,0.3,0.0,
476,GR007,"Ikan bandeng, segar",DABM- 1964,prooduk laut,single,74.0,123.0,20.0,4.8,0.0,0.0,1.2,20.0,150.0,2.0,67.0,271.1,0.0,0.9,45.0,21.0,,0.05,0.1,6.0,0.0,
477,GR008,"Ikan banjar, segar",KZGPI- 1990,prooduk laut,single,73.5,111.0,19.4,0.9,4.8,0.0,1.4,68.0,278.0,7.3,99.0,338.7,0.2,0.6,0.0,62.0,0.0,0.03,0.2,7.3,0.0,
478,GR009,"Ikan baronang, segar",KZGMI-2001,prooduk laut,single,80.0,78.0,14.5,0.6,3.7,0.0,1.2,26.0,521.0,3.8,26.0,692.0,4.7,4.1,732.0,0.0,,0.2,0.04,3.0,0.0,
479,GR010,"Ikan batung, segar",KZGMI-2001,prooduk laut,single,75.7,115.0,14.5,4.6,4.2,0.0,1.1,,207.0,0.0,42.0,361.0,0.2,0.9,,0.0,,1.2,0.04,1.1,,
